star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
3,2,3,3,3,2,"연차눈치안보고꙼̈ 사용가능
복지 정규직은 좋지만 계약직은 복지처우가 매우 별로임
사내카페 뷰 이쁨
건물이 쾌적하고꙼̈ 깔끔함
수평적인관계, 학교같음","콜센터마냥 일일히 시간분단위로 다̆̈ 무슨작업하는지 기재해야됨
실적을 매우 중요시함 실적을 순위로 나누어 랭킹을 내서 전체공개함
컴퓨터공장같음 고정적인것이 없으며 수시로 기준과 틀이 유동적이기때문에 적응하기가 쉽지않음(적응하려하면 또바뀌기때문에)"
4,4,5,4,4,3,연차 윗사람 눈치 안보고 쓸 수 있음. 술문화 없음. 회식을 애슐리에서 진행하는 회사. 점심 마음껏 먹는 회식은 정말 좋다,디자인이라 부르기에 조금 민망한 단순 작업들. 디자인을 전공한 사람이라면 회의감이 들 수 있다.
4,4,4,4,5,4,직원들관의 분위기가 좋고 월별 회식비용이 나와 일에 활력을 주는게 좋았음. 연월차 사용에 눈치를 전혀 주지 않는 편.,"단순노동이 필요한 회사지만 너무 기계처럼 일만시켰음. 심지어 1차 2차검수로 나뉘어 실수하면 벌점, 실수한걸 찾으면 상점, 순위로 인센티브지급을 함"
2,2,1,1,2,1,젊은 사람드링 모여있다보니 상하구조가 다른 회사에 비해 강하지않다,레드오션으로 매출에 많이 압박을 느끼고 시스템이 체계적이지 않았다.
4,4,4,4,4,4,"수평적인 관계가 장점입니다. 예를 들어 팀장이라는 직책은 존재하지만 똑같이 존대해숩니다. 또한, 영어 호칭을 사용합니다.",일이 단순하고 반복적입니다. 그래서 일에 대한 흥미가 조금 떨어지는 것은 사실입니다.
3,1,2,3,4,1,"- 연차 자유롭게 쓸수 있음
- 학교 캠퍼스 다니는 기분으로 다닐 수 있음
- 자유롭고 조식 줌
- 야근택시 쓸수 있었음
- 비교적 수평적인 상하 관계
- 사옥이 좋음","- 주먹구구식
- 일하는 사람만 일하고 노는 사람 많음
- 직무자체가 메리트 없음
- 경력쌓을수도 없음
- 진급이 없으니 본인 능력으로 잘 헤쳐나가야함
- 아니면 계속 몇년이 되도 똑같은 돈 받으면서 계속 비전 없고 경력도 안쌓이는 cs 해야함"
4,3,4,5,3,3,연차 사용이 굉장히 자유롭고 글로벌한 분위기에서 일할 수 있음. 조직마다 다르지만 워라밸이 좋음,회사 소식을 언론을 통해 먼저 접하게 되는 경우가 많고 주변에서 회사 괜찮냐는 걱정을 많이 들음. 다니는 사람들은 생각보다 위태롭다는 생각은 별로 들지 않음
4,4,4,4,4,4,이커머스에 대한 경험과 이해를 쌓으며 빠르게 성장하는 기회 제공,다국적의 직원들로 구성되어 있어 발생하는 커뮤니케이션 비효율
4,4,4,4,5,3,"국내 IT 기업이지만 회장님이 외국분이라 그런지 사내 분위기는 외국계 기업에 가깝습니다. 가장 많이 들리는 언어는 영어고 그다음은 중국어, 그리고 어쩌다 계약직 친구들이 한국어로 떠드는게 전부입니다. 수평적인 분위기로 영어 별명을 상호 호칭으로 쓰고, 직급은 레벨제, 쉼터나 식당, 퇴근 시 택시 지원 등 직원 복지에 어느 정도 신경쓰는거 같습니다.","몇년간 이익이 안나오고 순전히 투자에만 의지하고 있단건 모두가 아는 사실입니다. 매출 규모로 소셜 커머스 중 가장 크다고 자랑하는데, 회계에 대한 지식이 조금만 있으면 현실 파악이 가능합니다. 다른 커머스 기업들은 수수료수익만이 매출로 잡히고, 직접 구입 후 판매 유통을 하는 쿠팡은 제품 가격 자체가 전부 매출로 잡히기 때문에 애초에 비교가 다릅니다. 기존 유통업과 비교해야 하는데, 그건 또 오프라인 매장이 없기 때문에 한계가 있습니다. 이를 배송으로 극복하려 하는거 같은데, 오프라인 매장도 무인화로 효율화 되고 있는걸 감안하면 지속적인 경쟁력이 있을 지 의문입니다."
4,2,3,5,4,3,"각 팀별로 상이하다고 알고있으나, 한달에 한두번 계약직근로자들을 위한 점심또는 저녁회식 쿠데이진행, 연반차사용 자유로움, 다녀본 알바,직장중 가장 눈치없는 칼퇴가능
업무내용은 배우고 익숙해지면 큰 어려움없음","많은 상품을 다루는 규모있는 기업이다보니 소비자의 편의성과 법적기준에 어긋나지 않으려 가이드 기준이 자주 바뀌는 편이라 작업자에게 전달과정에서 체계적인 면이 부족하다 생각했고
이로인한 작업과정이 헷갈리는 부분이 있음"
2,2,3,3,3,3,딱히 어려운 일은 없음 기본적인 툴만 다룰줄알면 쉽고 알려진 기업이다 보니 자부심이 든다,알바 개념으로 들어간 계약직이라 그런지 비전이 없고 늘 똑같은 일만 함
1,1,1,2,1,1,택배업(물류)이 어떻게 분류되고 어떻게 배송되고 어떤식으로 진행되는지 배울수 있는곳(이것이 장점인지 개인이 해석하기 나름입니다.),"본사와 각 지역 hub 까진 네트워크가 원활히 되는진 모르겠지만 정작 소분류하는 캠프 마지막 단계는 전혀 본사의 관심보다 지원이 없고 붕떠있고 버려진 자식? 같은 느낌. 결론은 아무리 잘해봐야 빛을 볼수있는 곳이 아니라는점. 그리고 현재 지게차 사원 대규모 채용이 계속 올라오는데 채용 조건은 그럴싸하지만 막상 들어와 근무하다보면 기본급도 틀리고 야간수당?없습니다. 식대? 없습니다. 자비로 식사 해야됩니다. 월급 절대 공고에 올라온거 저거 아닙니다.
또 쿠팡 이름인지 모르겠지만 자사계열 익스프레스 기업을 설립할려고 하는거 하는데 일만 벌이고 나머지 회사 운영은 전부 제일 밑에 급 관리자,사원이 다 처리해야 하는 상황. 그렇다고 시간외 근무수당? 일만 더하고 시간 외 근무 수당 없습니다. 특히 수원 옆 지역 (대놓고 말하진 않습니다만 지도보면 어딘지 아실겁니다.)캠프 그리고 송파 캠프쪽은 지원 하지마십시오. 송파쪽은 맨날 지원 와달라 아우성거립니다. 투잡? 다른일로 투잡하십시오."
3,3,3,4,3,1,능력있는 인재들을 모셔오기 위하여 신규 인사제도등을 빨리 도입하려고함,"정책이 만들어져도 금방 바뀌고, 정책대로 하지 않을 경우가 많아 업무에 혼란이 있는 경우가 있음"
4,5,3,5,5,4,연차 사용 등이 자유롭고 복지나 사내 분위기는 좋았음. 또한 여러가지 동호회 등 지원도 자유로웠고 다른 부서간의 소통도 원할하고 좋았음,"잦은 변화, 현재는 모르지만 근무 당시 명절 상여금 등이 동종 업계에 비해 매우 낮았음"
3,4,4,5,5,3,칼퇴입니다! 계약직으로 일했는데 저어엉말 부담없습니다. 6개월 계약했는데 한 달 일하고 그만두는 분도 봤어요. (사정이 있어서. 회사가 마음에 안들어서 그런건 아님) 또래가 많아요. 일이 단순해요. 정직원 되고싶으면 그 쪽 매니저랑 친해지면 되요. 상시로 사내채용한다고 했어요. 지금은 어떨지 모르지만. 회사 건물 좋아요.,단순 업무. 워낙에 시스템이 잘 짜여있어서 매우 좁고 작은 일을 반복함. 하지만 개월수가 쌓인 계약직이라던가 매니저(정직원)은 사람들을 관리하는 일을 함. 기업의 단점은 딱히 없는 것 같음..! 나는 싫었는데 한달(?)에 한 번 자리를 바꿈 ㅎㅎ 근데 부서마다 다를듯!
3,2,2,3,3,2,"비교적 자유로운 소통, 복장 자유, 연반차 자유, 일 좀 못해도 성격 좋으면 언젠가는 승진할 수 있어요.","IT 관련부서 아니고서야 초봉 너무너무 짜다 알바수준
젊은 기업 하지만 젊은 꼰대 너무너무 많다"
2,1,2,5,2,1,자유로운 출퇴근 시간과 재택 근무는 최대 장점이지만 부서마다 케바케인듯,매니저들의 전문성이 매우 부족하다. 점점 고인물이 되어가고 있음
4,2,4,4,4,4,글로벌 기업을 지향하는지 몰라도 복장이 자유로움 출퇴근 눈치 안봐도 됨,"굳이 4년제를 CS직원으로 써야하나..??

기업의 단점은 아닌데 CS직무 정말 열받음.... 퇴사 이유"
4,4,4,4,4,4,회사내의 복지가 매우 잘되어있으며 직원간 관계가 원만한 편이고 분위기도 좋은편이다.,모든 회사가 그렇겠지만 업무시간내의 업무가 좀 고된편이다. 시간내로 정해진 업무량을 다 해야한다.
4,3,3,3,3,3,복지도 좋고 일하는것에 대해 잘 가르쳐 주시고 좋은 추억이었습니다.,약간 단순 반복의 일이 많고 모든일은 정확하고 빠르게 일할수 있는 사람만 추천드립니다.
3,2,1,5,4,2,"직함대신 ㅇㅇ님이라고 부르며 수평적인 분위기, 연차를 눈치안보고 쓸 수 있음. 자유롭게 의견을 낼 수 있음. 잠실대교가 한눈에 보이는 뷰의 사내 카페테리아.",자유롭게 의견을 낼 수 있지만 받아들여지진 않음.. 카스트 제도처럼 레벨제도가 있음. 레벨이 낮은 사람은 렙업 하기가 힘듬.. 그들만의 리그가 있음
2,3,2,1,4,3,팀 분위기가 좋고 사내 복지시설이 나쁘지 않았습니다. 위치도 좋았습니다.,야근이 거의 필수... 그런데 야근수당은 그만큼 잘 챙겨주는지 잘 모르겠습니다. 정시에 퇴근하는 거의 사람을 못 봤어요.
3,3,2,4,3,4,"연차 자유, 수평적 구조를 지향하는 분위기. 근무환경이 쾌적함. 재택근무와 출퇴근시간, 점심시간이 유연하게 조정이 가능하다.","수평구조를 지향하지만 완벽하지는 않다. 경영진과 대체적 분위기는 지속적인 경영진의 교육을 통해 노력되고 있는것이 느껴진다. 사내벤처같은 프로그램등은 존재하지 않음.
연봉이 높지 않음."
4,4,4,5,4,4,"연차를 눈치 안보고 쓸 수 있다. 재택근무가 가능하다. 복장은 당연히 자유롭다. 개발직군은 꼰대가 거의 없다(꼰대짓이 인정받기 힘든 문화). 프로젝트에 따라 다르지만, 새로운 기술을 크게 눈치보지 않고 써볼 수 있음.","내부 직원간 경쟁이 치열하다. 살벌하다고 느껴질 정도. 직원간 연봉 격차가 큰 편이다. 영어 실력에 따라, 주어지는 기회가 다르다."
4,3,4,3,4,3,본인 컴퓨터가 제공되고 선임들이 매칭되어서 업무 교육을 시켜주는 편. 선임들이 다들 친절한 사람들이라서 배우기 좋았다. 일하면서 초특가 상품을 찾아내 구매할 수 있어서 이득이었음.,개인 역량이나 흥미가 고려되지 않아서 업무가 맞지 않는 사람은 오래 버티기 힘든편임. 업무 분담이 복불복 형태다. 다양한 사람들이 수시로 들어와서 사내 분위기도 복불복임.
4,4,4,4,4,3,쉴 수 있는 휴식 장소나 휴식 시간 같은 것들이 자유로움.,휴식 시간이 많은 만큼 일도 많긴 하다. 하지만 많이 배울 수 있음.
3,3,3,4,3,2,연차는 부서바이부서지만 특별히 눈치보지 않고 쓴다. 출퇴근 자체는 여유롭게 쓸 수 있음,"데이터 분석에 대해서 모르는 놈들이 설치고 다님, 특히 마운틴뷰 오피스에 있는 개발자들은 통계학에 대한 기초도 모르는 채 데이터 분석을 하려고 함"
5,5,5,3,3,4,"안정적인 직장이라는 점에서 좋았습니다

또 급여가 동종업계 대비 괜찮았어요","근무강도와 시간이 긴 편입니다.

이 점 유념하셔야 할 것 같습니다."
2,1,3,3,4,2,"연차 아무때나 사용 가능 심지어 당일에도 가능, 사내 교육 프로그램 무료 운영
1~2달에 한번씩 회식","물류업무가 아닌 페이퍼작업을 요구,
그 페이퍼 작업도 아무런 의미가 없음
왜 하는지 모르는 엑셀 작업이 많다.
야근이 많다, 주말출근 있음
물류업무 특성상 진급이 어려움
상사와 친해지면 편해짐 (지연 심함)"
4,3,3,3,3,3,사내 카페테리아가 유용. 식당밥이 괜찮음. 연차 사용 자유로움. 여러가지 재미있는 복지들이 많음.,업무량이 많음. 정규계약파견 간의 차별이 있으며 점점 더 확대하는 방향으로 흐르는것 같음.
1,5,1,1,1,1,아무생각없이일하기 좋음 안춥고 안덥게 일할수있음 또래들이 많아서 쉬는시간이 재밌음,회사같지않고 알바같은곳 대화도할수없고 서로 경쟁하면 모니터만봄
4,2,2,5,2,1,"1.유연근무제 (ex. 업무가 많은 날은 10시간, 없는 날은 4시간등 자유롭게 근무가 가능)
2. 높진 않지만 꽤 괜찮은 연봉, 쿠니 제외 2800부터 시작하는 걸로 알고있음
3. 자유로운 분위기
4. 깨끗한 환경","1. 팀바팀 부서바이부서 너무 심함
2. 팀 매니저 - 팀원으로 중간관리자가 없음
3. 어느 팀이 무슨일 하는지 다들 모름
4. 명절상여금 쿠팡캐시 10만원
5. 신입이 일 배운다는 생각으로 절대 오면 안되는 회사 중 하나"
4,1,4,4,4,3,연차 눈치안보고 쓸수있고 직원들간의 관계나 분위기는 대체로 좋다. 조직이 젊고 능력있는 사람들도 많음,빠른 대응과 실험정신은 좋지만 이것이 지나쳐 업무에 일관성이 없어지는 경우가 있다.
5,4,3,5,5,4,"1. 연차를 눈치안보고 쓸 수 있다.
2. 저렴한 회사 내 카페
3. 수평적인 분위기 (모든 직원이 ~님 하면서 존칭)
4. 젊은 층이 많다.
5. 칼칼칼퇴근 (야근은 수당이 따로 나와서 하고싶은 사람만 더 한다.)","1. 사무보조 파견계약직 이었는데, 업무가 너무 단순함
2. 파견직이라긴 하지만 연봉이 너무 적다. (정규직 전환 돼도 얼마 안오른다..)
3. 매니저를 잘 만나서 너무 즐거웠지만 몇 몇 다른 라인들은 너무 숨막혀 보였다..."
5,5,5,5,5,5,"경험할수 있는 모든것들을 경험하게 해줌
일과 학습에 균등한 기회를 주며 성장할수 있는 기회를 많이 준다
사람들도 모두 좋다","업무량이 많고, 광범위한 지식이 필요함
고객종류도 다양해서 공부해야할게 많다
가끔 보면 광신도 같은 충성직원들이 많아서 무섭다"
2,1,2,2,3,2,급여 칼같이 들어옴 이외에 장점이랄건 딱히 없는것 같음..,업무의 비효율적 분담 누군 개꿀빨고 누군 허리휘어지고 뭐 이게 인간살이 현실이긴하지만요 연차쓸라면 개눈치줌
4,3,3,4,4,4,외국인 비율이 높고 수평적인 분위기를 지향하기 때문에 본인의 욕심이 있다면 글로벌한 인재로 성장 할 수 있을것,"디스 이즈 코리안 스타일, 경력직이 이직한 비율이 높은 만큼 한국식 경력직들의 문화와 기업이 지향하는 문화가 충돌함. 리더에 따라 분위기 차이가 심함"
2,5,3,4,4,2,수시로 정규직 전환 시험을 본다. 일만 잘하고 성실하다면 정규직 전환은 쉬운 편.,대체로 직무체계가 수평적이어서 그런지 업무처리속도가 좀 느리다. 전체적인 업무처리기준이 모호해 의사결정이 늦는 편.
1,4,4,5,1,1,"연차 자유롭게 쓰고, 복장 자유, 파트에 따라서는 상사랑 장난치는것도 가능","서양식 자유로운 분위기를 만들겠다며 서로를 직급없이 영어이름으로 부르는 문화를 도입했으나, 결론적으로는 한국식 위계질서의 단점과 자유 문화의 단점만이 남은 ‘끔찍한 혼종’같은 분위기.
들어가서 내 커리어를 쌓아볼까? 결심하는 순간 상사가 나보다 일 안하고 일 못하는 것을 볼 수 있다. 연차는 자유롭게 쓰는데 화장실 자주가면 뭐라한다ㅋㅋ 모순덩어리들
성차별을 대놓도 하진 않는데, 고위 경력직은 다 남자임^^ 여잔데 화장 안하고다니면 아파보인다 하고, 화장하고오면 맨날 이렇게 좀 하고 다녀 라는 말을 눈썹조차 안다듬는 호빗난쟁이 상사(male)에게 들을수있다^^ 그나마 그 상사가 제일 일 잘한다 생각했는데 위메프갔음"
4,3,3,5,5,3,"반차나 연차사용에 부담이 없음, 신입도 부담없이 업무할 수 있음.",부담없는 업무가 문제가 될 수 있음. 업무 외에 자기계발에 힘써야 함.
3,3,2,2,2,2,물류 자체가 바쁜 관계로 딱히 배울 건 없지만 현장이 어떤건지 알 수 있었음,말 그대로 바쁜 관계로 인턴 기간동안 배울점은 딱히 없었음
3,2,3,3,4,3,"윗사람에 따라 다르겠지만, 비교적 연차 사용이 자유로움","다소 체계가 부족하여, 변화가 많음
개발 부서외에는 대우가 좋은 편이 아님"
4,3,2,3,4,3,옷차림 제한 없다는 점과 소위 말하하는 보수적 기업은 아닙니다. 그러함에 따라 상대적으로 적극적인 의견 제시 가능,"회사의 미래를 장담할 수 없음. 왜냐하면 계속해서 사업은 확대할 수 있으나 시장 상황을 봤을 때, 무조건적인 성공을 기대하기 어렵다고 생각합니다."
4,4,4,4,4,4,"저녁이 공짜인게 개인적으로 가장 마음에 들었고, 부서마다 다르긴 해도 유연근무제가 가능한게 좋았음",수평적인 문화를 지향한다지만 수직적인 부서도 있음. 택시 지원이 하드해져서 좀 아쉬움이 있음.
3,3,2,3,4,2,닉네임 문화와 업무에 대한 피드백 및 교육이 잘 되는 편,비효율적인 오퍼레이팅 시스템과 허술한듯한 인력관리가 문제
3,3,3,5,5,3,연차 사용이 자유롭고 직급이 레벨로 불린다 그래서 윗사람과 편하게 소통이 가능하다,단순업무가 너무 많아 손목에 무리가 왔다 마우스 클릭만 몇번을 하는지 모르겠다
3,2,4,3,2,1,연차마음데로 쓸수있음 몇몇사람뺴고 좋은사람들 있음 하지만 너무 경직된 사무실 분위기,"바닥부터 치고올라온 몇몇 인성 없는사람들이 감투질이 너무심함
뭐가잘못된지도 모르고 일부터 떠넘김"
3,1,1,3,1,1,딱히 없어요 건물이 새거라 화장실이랑 시설이 좋아요(물론 컴퓨터 제외),많지만 말을 다 못하겠네요 엘베 기다리는 것 조차 짜증남
4,4,5,3,4,2,복지 휼륭함.시스템이 구체적이고 체계적으로 잘 되어있습니다.,직원을 막 굴린다고 생각합니다. 퇴사자들이 많지만 신입사원을 잘 뽑지 않습니다.
3,2,4,5,5,2,"휴가철만 아니라면 연차 쓰는데 제한 없음, 연장근무 또한 본인이원한다면 언제든지 가능, 점심시간 및 쉬는시간 잘 지켜지는 편.","서비스직이라 명절 때 같은 경우 잔업이 있을 수 있음, 고객을 위한 서비스업이기 때문에 cs과정의 테스크가 주기적으로 바뀌어서 적응하기 힘들 수 있음"
2,2,1,3,1,1,스타트업 이커머스를 주도적으로 이끌려는 혁신마인드. 시스템 개발 및 창의적인 경영 마인드,매출증진 및 IPO에만 촛점이 맞춰있어 경영진들의 마인드가 투명경영 및 인사관리 많이 미흡
3,2,4,3,3,3,고객만족을 위한 혁신적인 방법으로 인해 인지도는 매우 상승,"단기간 빠른 성장으로 인한 아쉬움이 많으며, 지속 변화하는 부분에 대해 적응이 어려운 부분도 있음"
3,3,3,4,4,2,비교적 수평문화라 조직분위기도 유연하고 연차나 유연근무제 적극 사용. 자의든 타의든 내부 이동이 많은 편이라 다양한 경험을 쌓을 수 있음,"변화가 많은 곳이고 체계적인게 매우 부족하여 업무에 히스토리가 매우 부족. 부서마다 롤이 유사하기도 겹치기도 하여 동일한 일은 여러곳에 하기도. 그리고 실장급이상은 99프로 외국인으로 어느정도급부터는 박탈감이 느껴지기 쉽고 원활한 영어사용이 어느 레벨, 부서든지 기본베이스로 요구함"
4,3,4,5,5,3,"수평적인 사무실 분위기, 연차 눈치 안 보고 써도 됨, 일주일에 한 번씩 재택 사용 가능, 도서비용 제공","레벨업이 어려운 것 같음, 직접 자기가 할 일을 찾아야함"
4,3,3,4,4,3,자유로운 분위기. 연차 윗사람 눈치안보고 쓸 수 있음. 출퇴근 시간 자유로움. 자기자신을 당당히 어필하면 잘 들어줌. 대신 자기자신을 포장하거나 자기 의견 내세우지 않으면 힘이 없음.,작고 큰 변화들이 많이 자주 생긴다. 무엇이든 빨리 빨리 진행해야 함. 아직 체계가 제대로 잡히지 않아있음. 이로 인해 일 똑바로 하는지 안하는지 잘 모름. 일 똑바로하는 사람만 일 계속 똑바로하고 못/안하는 사람은 계속 못/안함.
3,2,4,2,2,2,"급여의 밀림없는 지급과 수당의 정확한 계산이 장점
끊임없는 일거리와 물량으로 일이 많음","물량 밀어내기가 많은 달에 인센티브의 지급 부재로 의욕이 줄어듬
잦은 하도급의 인력 교체로 적응이 힘듬
관리자와의 소통부재"
2,2,1,4,4,2,"연차는 눈치안보고 사용가능, 자유로운 기업분위기, 젊은 직원들이 대다수, 깨끗한 신사옥으로 사무실이나 업무 분위기는 좋음, 직원들이 대다수 인성이 좋은편","굳이 4년제를 뽑는 이유를 모르겠음, 연봉이 너무 낮음, 쿠니라는 이름으로 포장했지만 그냥 고객센터 업무, 교육 받는내내 이걸 왜듣고 있는지 모르겠다는 생각이 듬, 고객위주라지만 프로세스관련 이상한점들이 너무많음"
3,2,4,3,3,3,"수평적인 업무 분위기가 장점, 업무의 강도 세지않음, 분야에 관심이 있다면 추천","단순, 반복이 연속되는 업무, 일을 배우는지 모르겠음 계약직이기 때문인 것도 있는듯"
2,3,3,3,3,3,외국기업의 마인드를 모토로 대부분 수평적인 분위기에서 일하기 때문에 서로 함부로 대하지 않고 명령조로 업무를 시키지 않음,단순매칭과 단순 문서작업으로 일의 효율성이 매우 떨어지고 업무에 대한 특별한 가이드가 없어 지속적으로 물어봐야하고 공장같은 느낌임
3,2,2,2,3,1,"복지하나는 좋음
팀마다 다르겠지만, 회사 사람들도 좋음","야근이 너무 많아서 자괴감이 든다
회사 구성원인지 노예인지 모름"
3,3,3,3,2,3,배송만 빨리 끝낸다면 캠프로 복귀해서 쉴수 있다. 노력에 따라 근무 강도가 다름.,52시간 근무를 지킬수 없는 구조이다. 워라벨을 지킬수 없다.
1,2,2,2,2,2,"연반차 사용 자유로움 , 일에 대한 스트레스 없이 편하게다닐수있음","너무 단순업무라 배울게없음 오히려 알고있던 엑셀조차 까먹을수준 , 사람을 기계취급하고 입사초에 마음가짐이 없어짐 지금 내가뭐하고있지? 이생각밖에안들고 시간낭비하는느낌이 많이듬"
3,3,2,5,4,2,"연차사용이 자유롭다, 인센티브 챙겨준다, 명절에 쿠팡캐쉬줌","급여가 짜다... 개발자만 많이줌...
사내정치라인타는거 있어요"
2,2,2,3,3,3,"자율적인 근무환경과 개방적인 상사 마인드, 팀원들간 담합이 좋앗음(팀분위기는 케바케인듯)","업무량이 많은데도 불구하고 업무분배가 효율적이지 않아 늘 업무에 치임, 또한 급여가 너무 적음"
2,3,1,4,4,1,연령대가 어림. 근무환경이 쾌적함. 잠실역 근처라서 사람들이 많지는 않음. 퇴근길에 미리 좋은 위치를 선점가능함. 사람들이 대부분 좋음. 그러나 몇명은 역시나 안좋음. 칼퇴가능 하지만 업무가 있으면 역시나 칼퇴는 접어둬야함.,역시나 어디서나 똑같듯이 꼰대들을 볼수있음. 돈을 너무너무너무 쪼금 줌. 상여금도 없고 복지도 좋은지 모르겠음. 밥은 호불호 갈릴수있지만 기왕이면 따뜻한 밥먹고싶음.
4,3,3,3,3,3,재밌다면 재밌다. 신기하거나 처음보는 물건들이 많아서 물건을 찾을 때 조금 재밌다,직원들이 빨리하라고 말을 많이하고 따로 방송으로 불러서 말을 할 때도 있다
3,3,3,4,3,3,연차는 쉽게 쓸 수 있는곳. 아르바이트 할 생각으로 들어왔다가 근무성적이 좋으면 몇개월 뒤 정규직이 될수있음. 물론 공채로 들어오는것과는 다름,복지가 좋은듯 안좋은듯.... 경조사는 잘 챙겨준다. 사내복지 관련팀이 어디 숨어있는지 모르겠다
1,2,3,3,3,3,디자인 보조로는 안정적인 회사 취업 전 아르바이트 개념으로 다니기 좋음.,파견직으로 대거 고용하여 쓰고 버리는 식의 채용하지마세요.
3,3,1,4,4,3,"칼퇴, 회사 시설이 좋고 점심에 회식을 하는 문화, 개인적인 분위기라 서로 터치가 없어 일하기에 편했음","적은 임금, 단순하고도 반복적인 업무, 정규직과 계약직의 차별이 묘하게 존재"
2,2,4,2,4,4,일찍 출근할 경우 구내 식당에서 김밥같은 간단한 식사를 제공함. 중식은 여러개의 도시락 중 택 1이 가능하다. 큰 기업이니 만큼 내부 시설은 부족함 없이 잘 되어있다.,"홈페이지에 들어가는 누끼 이미지 작업 등 단순 업무만 지속된다. 창의적이거나 발전있는 일은 없다고 보면 된다. 창의성을 요하는 일이 싫거나, 대기업의 체계나 환경만 느끼고자 하는 사람들에겐 괜찮다."
