star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
3,3,4,4,1,1,한공산업은 무궁무진하게 발전하고 있으며 앞으로도 그럴것으로 예상되기때문에 비전은 상당히 좋다고 봄. 적당한 보수. 꽤 괜찮은 워라벨,"기업문화가 일단 90년대를 벗어나지 못하는 느낌.... 쏘시오패스들만 모아놓은것 같은 본인들 성과만을 위한 이해못할 정책들이 가끔 나옴... 공무원중 가장 보수적이라는 국토부 산하여서 그런지 엄청 보수적이고 국토부 눈치를 엄청본다.....
무엇보다도 원칙적이지 못한 순환근무가 가장 큰문제... 권역순환도 아니고 본사이전과 지방에 신공항을 건설하면 순환근무 문제가 더 심각해질듯!!!! 타공기업처럼 지역인재를 채용해서 그 지역에 몇년동안 의무근무 시키는것도 아니기때문에 지방러들도 젊은사람들은 기회만되면 서울로 올라오고싶어함.. 그러다보니 서울사람들은 지방안가려고 인사권자들에게 잘보이려고 정치질도 심해짐"
2,1,2,3,1,1,"대외 이미지 좋음. 이것 말고는 좋은점이 없음.
5년이하 직원 퇴사율 공기업중 탑","인국공에 비해 현저히 낮은 임금
지방오지 발령
업무강도 중강
사내 정치질 심해서 눈 밖에 나면 지방 오지로만 돌기 시작"
3,4,3,5,2,2,"나쁘지 않은 경평,나쁘지않은 연봉,나쁘지않은 자기시간을통해 이직을 노려볼수도 있음","일근자와 교대근무자 연봉차이가 없음.공기업특유의 꼰대문화,무조건 교대근무"
4,4,4,2,2,4,회사 정책 상 사원들에게 많은 도움을 주려고 하고있습니다. 하지만 앞서 말씀드렸다시피 기업문화가 좀 힘들어서 탈입니다.,"부서와 부서간, 실과 실간, 사원과 사원간 업무핑퐁이 심합니다. 아랫사람이 다 떠맡을 수 밖에 없는 구조입니다."
3,3,4,3,4,3,"체계적이고 업무시스템 확실함
공항업무인 만큼 다양한 직무가 있음","야근이 생각보다 많음
보수적인 회사 분위기이지만 나름 적응할 수 있었음"
4,4,4,4,4,4,좋은 점이 많습니다.체계적인 교육 시스템이 갖춰져 있습니다.,직원들의 불만을 듣지만 말고 해결책까지 마련해줬으면 좋겠습니다.
5,4,5,5,5,5,수평적 문화 업무대비 높은 급여 다양한 업무 순환근무로 직원들 만족도 높고 수평적 문화 추구하고 연차사용 자유로움,"업무 매뉴얼 부재하여 답답한면이 없지 않음
순환근무지 많아 어디로 발령날지 모름"
3,3,3,3,1,2,연차 자유롭게 쓸수 있음. 공기업 중 본사가 서울에 있는 몇 안되는 회사,전례답습 문화가 심함. 커리어 쌓기 힘듬. 많이 좋아지고 있지만 군대문화가 심한 편
4,4,4,4,3,2,서울에 본사가 있다는 점이 가장 큰 장점이며 보수가 나쁘지 않다.,수직적이고 경직된 상하관계가 있으며 발전보다는 안정을 우선시한다.
3,3,3,3,2,3,"1. 어떤 부서장 밑에 있느냐에 따라 다르겠지만, 우리팀 부서는 연차는 비교적 자유롭게 쓸 수 있음.
2. 본사가 서울 강서구에 있음(하지만 앞으로 이전 가능성 있음)
3. 가족과 함께 하는 날, PC OFF 제도 등 직원의 워라밸을 신경쓰려는 노력을 하고 있음","1. 인천국제공항공사에 비해 턱 없이 낮은 연봉으로 인한 상대적 박탈감을 느낄 수 있음
2. 직렬 모임, 취미회 등을 통해 강제로 돈을 걷는 문화가 있음
3. 술 강요가 아직까지 존재하고 술잔 돌리기는 이 회사의 전매특허"
3,3,3,3,3,3,업무강도는 강하지 않았고 사내문화도 괜찮았습니다 공기업,처음으로 인턴 들어간 회사여서 단점은 잘 못느꼈던것같습니다
3,3,3,4,2,3,한국공항공사라는 네임밸류가 있어서 자부시을가지고 남들에게 떳떳하게 말할 수 있고 업무강도는 강한편은 아니다,보수적인 체계가 약간 존재하며 연봉은 만족할 만한 수준은 아니다
4,3,3,4,2,2,"공항이 가진 대외적인 이미지. 산업의 특성상 망해서 쫓겨날 일은 없을거라는 안정감. 기본급을 있는 그대로 받아들일 수만 있다면 나쁘지 않은 성과급, 사택제도","다음엔 어떤 지방에서 근무하게 될지 모른다는 불안감.
특정 기업에 대해 느끼는 상대적인 박탈감.
사택을 제외하면 아쉽게만 느껴지는 복지제도"
4,2,4,4,2,3,주로 도심에 위치해 있어 도시생활을 할 수 있음. 연봉이 나쁘지 않으며 공항에서 근무한다는 자부심이 있음,국토부 하에서 충분한 지원을 받지 못하며 지방공항이 많아 지방근무를 할수 있다는 단점이 있음
4,3,4,4,3,3,"지방근무자 사택제공 등 괜찮은 복지를 제공함
나쁘지않은 급여","부서바이부서로 업무량 차이가 있는듯하다.
술잔돌리기 등 비합리적인 회식문화 있음"
3,3,3,2,3,2,공기업이다보니 안정적이고 업무체계가 잘 잡혀있다. 오랜동안 일해오신분들이 많아 업무를 많이 배울 수 있다.,"공공기관은 아니고 완전한 영리기업도 아닌 중간이어서 업무의 방향이 애매함.
지방 공항으로 발령나면 매우 힘들듯."
1,1,1,1,1,1,"공기업 이라는 점.
공항근무 미모의 여인들이 공항에 많아서 여친사귀기 젛은 조건.","군대식, 짬밥깡패 문화, 잡 서류와 사진 업무등 잡일 스트레스. 용역이나 외주등 업체관리 스트레스와 그 업체들에게 "" 갑"" 질 많이 있고"" 갑""질 해야 한다. 때로는 마음이 아프기도 하는데 어쩔수 없다. 왜냐면 일반 ""갑""질이 아닌 ""초개갑질""을 해야 하므로..
무엇보다 주인의식이 없고 책임 지기 싫어하는 의리없는 문화...로 적자가나건 말건 관심없고, 근무시간에 누군일하고 누군놀아도 배쩨라는 식이고...참 답이 없다."
3,4,3,3,2,1,"1. 내가 하는 일에 주변 사람들이 무관심하다. (Fucked up만 내지 않으면)
2. 근속년수가 올라가면 올라갈수록 이상하게도 권리와 의무가 점차 사라진다.","이 외에는 정말 별로인 기업..
1. 내가 안짤리는 만큼 코파면서 근무하는 윗 사람도 안짤린다.
2. 전형적인 한국 공기업이다보니 불필요한 서류작업이 정말 많다.
3. 눈 먼 돈도 참 많다.
4. 공기업 평가에서 자꾸 높은 점수 받았다하는데, 유지를 하셔야지 계속 떨어지고 있는데 과거뽕에 취해계시면 되겠습니까.
5. 인국공에 자격지심이 심하다. 뭔 말만 나오면 인국공이~ 인국공때문에~"
1,1,1,1,1,1,"공항이라는 환상을 가진 사람에게 좋은 외적 자부심, 공항이라는 막연한 동경의 대상","비합리적 승진시스템, 군대문화, 매우 낮은 워라벨, 좌천이라고 불리우는 지방배치"
1,4,2,1,1,1,"1) 장점을 찾는게 손에 꼽지만 굳이 찾자면 '공항'에서 일한다는 점
대외적으로 좋은 공항의 이미지 덕분인지 회사를 잘 모르는 사람들에게는 자연스레 좋은 이미지를 심어줌

2) 젊은 사람들 중 능력 좋고 깨어있는 사람들 다수 포진","1) 주 52시간은 도대체 왜 하는건지? 사무직은 야근,주말 근무수당에 해당조차 안됨

2) 제로베이스인 복지정책. 직원들 점심조차 지원해주지 않는 회사. 과연 직원들 식사조차 제공 안되는 회사가 얼마나 될까?

3) 여전한 꼰대문화, 회식 및 술자리로 모든 일을 해결하려는 상사 투성

4) 건강하지 못한 회사문화, 신입 퇴사율 및 공기업 중 가장 높은 퇴사율이 이를 증명"
3,2,3,3,2,3,회사의 본사와 김포공항이 서울에 있어 근무지가 서울이 확률이 높다는게 매우 큰 장점임 타 공공기관이 지방에 내려가다 보니 그 장점이 더욱 더 두드러짐,공공기관이라서 각 프로세스마다 문서생성이 필수적임 그렇다보니 신입사원은 잡무아닌 잡무성 일이 많아 본업보다 잡무를 많이 하게됨 그리고 세대차이가 많이나서 조직문화가 올드함
3,3,3,3,3,3,근무지가 좋으며 노무복지혜택이 유사 공기업과 비슷한 수준입니다.,수직적인 조직문화가 있어서 약간 경직된 분위기라고 느낄수 있습니다.
4,4,4,5,3,4,대한민국 항공사를 관리하므로 적자날 일은 없고 전문직으로 나름 자부심이 있다. 연봉 괜찮음. 복지도 줄어드는 추세라 하지만 괜찮다.,군대식문화를 아직 남았기는 하지만 별로 신경안 써도 됨
3,3,3,3,3,3,"연차 마음대로 쓸수있음
자기시간이 있음
자기시간으로 인한 자기만족, 여유
급여 높음","공기업이다 보니 다소 보수적인 부분이있다
약간의 군대 문화로 힘든정도는 아님"
3,3,3,2,3,3,"전국 공항을 순환할 수 있다는 점.
비행기 이착륙을 보면서 근무할 수 있다는 점.
공기업 중에서는 평균 이상의 급여.","순환 순환 순환 순환 순환
그리 수평적이지 않은 분위기"
3,1,4,4,1,3,"장점
1. 지인들의 인식이 좋다(메이져 공기업, 공항근무)
2. 적정한 급여
3. 서울에서 근무할 수 있는 직원의 비율이 높다","단점
1. 보수적인 기업문화(소히 꼰대문화, 지역마다 부서마다 강도가 다름)
2. 지역순환근무(전보나기 개략 10일전에 알려줌)
3. 업무강도(사실 편한부서도 많지만, 힘든부서도 많다)"
3,3,3,3,2,2,직장내 사내 분위기가 친구같고 편안해서 좋다. 직장 동료와의 유대감 굿,연봉이 성에 안차서 조금 힘들엇음 그리고 집에서 멀리 떨어진 위치도 단점
3,3,4,3,2,3,"공항에서 일한다는 자부심과 적지 않은 연봉이 가장큰 장점이며, 팀에 따라서는 근무강도도 적절함","군대문화가 아직은 남아있고, 쓸데없는 행정절차로 업무효율 을 저하시킴"
3,3,3,4,1,3,안정적인 공기업이며 인지도가 높은편 본사가 서울이라 수도권 비율이 그나마 높은편...워라벨이 훌륭함,보수적임 그나마 요즘 젊은 사원이 많이들어와서 나아지긴 하겠지만 영꼰들도 만만치 않게 볼수있음...전국순환근무...비휴때 회식 워크샵 체육대회....
2,3,3,2,1,1,"공항으로 출근할 수 있으며, 교통편이 편리하다. 다양한 직렬의 사람들을 만날 수 있음","비합리적인 인사제도, 매우 수직적이고 경직된 문화라서 워라밸은 사기업보다는 덜하나 야근 꽤 많고 수당은 없름. 메뉴얼이 체계적이지 않음. 전국 순환근무. 회식 잦음. 남성우월주의자 많음."
3,3,3,4,3,3,공항에서 일한다는 자부심과 겉에서 볼 때의 인식이 좋음.,"공기업 특징인지는 모르겠지만 보여주기식 절차가 많고, 국토부의 입김을 많이 받음. 만약 기술직이라면 실적을 통한 승진을 크게 기대하기 어려움."
3,3,4,4,2,3,"-회사 네임밸류가 좋고 나쁘지 않은 연봉
-연차 눈치보지 않고 쓸 수 있음
-매우 안정적인 고용으로 대부분 정년보장
-부서 바이 부서지만 저녁이 있는 삶이 어느정도 보장됨","-지사와 부서 순환근무로 인해 직무 전문성을 쌓기 어려움
-회식에서 잔돌리기 문화가 남아있고, 꼰대같은 상사/강요아닌 술 강요하는 상사가 있음
-좋게 말하면 가족같은 분위기지만, 나쁘게 말하면 오지랖이 지나치게 넓은 사람들 다수 존재
-부서마다 다르지만 거의 매일 야근에 주말 출근하는 부서도 존재"
4,4,4,5,4,4,공항철도로 위치 편의. 퇴근 빠른편. 업무강도 낮음.,업무강도 낮음. 전국 수십개의 공항을 순환근무해야한다는 것이 사장큰 단점
3,1,2,4,3,3,"정년까지 근무가 보장됨. 본사는 캐바캐, 지사는 대체로 정시퇴근.
인천공항 제외하고는 독점이기 때문에 경쟁력 보유.","잘리지않기 때문에 몇몇 직원이 나태함. 특히 지방에 무능력+꼰대들이 존재. 한 곳에 20년 넘게 근무했지만 무능력+나태하며 권리만 찾는 뻔뻔한 인원 존재.
행정직에 너무나 지나치게 치우친 불평등한 진급 인사.
복지 혜택이 낮음. 단적인 예로 취미회 지원금이 1년에 개인 5만원. 식대비 없음."
4,4,4,4,3,3,정년이보장된다. 공항에서 일하는 쾌적함. 강한 자부심을 느낄 수 있음,복지가 매우 부족함..... 팀마다 다르지마 업무량 팀바이팀이 너무 심함
