star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
3,4,4,3,3,3,"한국 1위기업의 자부심을 느낄수있음, 수평적 기업문화 그리고 동종업계 최고연봉",아무래도 1위에 걸맞는 업무량이 압박이고 그에 걸맞게 자신의 발전도 요구됨
2,1,3,3,1,1,"일하는 사람들이 착하다.
빵이나 음식이 맛있다.
직원할인이 크다.
포인트 많이 쌓을 수 있다.
퇴근시간되면 컴이 스스로 꺼진다.",기본적인 포토샵 일러스트도 미리 컴에 안깔려있다. 일단 급하니까 체험판 스스로 깔아서 써야한다.
4,4,4,4,4,4,"야근 교통비 지원 등 사원에 대한 복지가 우수한 편으로, 식품업계에서 가장 성장가능성이 높은 기업.",선후배와의 거리감이 생각보다 크다고 생각함. 집에서 거리가 돼서 생각보다 출퇴근이 힘들었음.
3,3,4,4,3,2,다들 알고 있는 복지.. 연봉이 적은 대신 복지로 대신함.,대기업치고 연봉이 너무 적음. 시스템이 너무 주먹구구식.. 일하는거보면 너무 답답함.
3,4,4,4,4,4,좋은기업문화와 수평적인문화 대외적인 이미지가 좋은편입니다,같은 식품업계에서는 연봉이 높은편이지만 대기업중에서는 연봉이짜다
2,3,2,3,2,3,"직원 카드로 CJ계열사 임직원 할인을 받을 수 있다.

대기업 이름표.","CJ제일제당 = 제일짜당

업무 특성상 비전 없고 돈도 별로 안 주네?"
2,3,3,1,4,1,안정적인 소득을 이어갈 수 있습니다. 꾸준히만 다니면 승진의 기회도 있습니다. 임직원 카드도 꽤 효율적입니다.,3교대 근무임에도 중소기업 3교대와 임금차이가 심하지 않습니다. 상대평가입니다. 동기들을 랍고서 이겨내야합니다.
3,3,4,3,3,3,대기업이라 수당은 딱딱 알맞게 들어오고 복지가 잘되있음,"텃세가 약간있고 처음일을하는거라면 업무강도가있어 다소힘듬, 연말,신년때 일이 엄청 바쁨"
3,3,3,2,3,3,"대기업이고, 식품업계에 P&G 같은 존재임 여기서 신입을 시작하면 이직할때는 다수 외국계도 어렵지는 않음","부서 및 상사에 따라 강도 차이 너무 큼, 공장으로 가면 뼈를 뭍을 수도 있음"
3,4,3,2,2,3,"분위기 좋은부서로 가면 사람들 괜찮음. 포장쪽으로 가면 먹고 싶은 제품 자주 먹을수 있음. 기계 운용이랑 목표 케파 잘 맞추고 불량 안내면 인센티브 잘나옴.
복지는 그냥 문화생활할때 좋은데 문화생활 할 시간을 주나????의문",나이 든 사람들이 많은곳 가면 꼰대기질 다분한 사람들이 너무 많음. 그리고 회식 거의 참석해야함 장점이자 단점인데 이것저것 으쌰으쌰하려는게 너무 많아서 참여하는거 안좋아하는사람은 별로임.
