star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
4,4,4,5,3,3,한국전력에 다닌다는 자부심. 적당한 복지. 출퇴근에 관한 압박없음. 꽤 자율적인 휴가사용. 적당한 연봉. 빡세지않은 업무강도,아직까지 보수적인 측면이 남아있음. 약간의 군대문화. 오지근무를 어느정도 감당해야함(대도시쪽은 많이없으나 지사는 전국적으로 분포해있기에 오지근무 확률이 더 높음) 갑이라고 생각되기 쉬우나 고객에게는 항상 을인 입장.
3,3,3,3,3,3,사람에 따라서 열심히 일하고 싶으면 열심히 일하고 열심히 일하기 싫으면 열심히 일하지 않아도 됨,단점을 어떻게 알 수 있는 방법이 없음 그냥 다 알아서 눈치보고 할 것만 하면서 지냄
3,4,4,3,3,3,안정적이고 초봉은 그리 높진않지만 인상률이 높은편 / 높은 인지도와 자부심을 가지고 일할 수 있음,부서 케바케/ 잘못들어가면 민원한테 하루종일 시달림 / 야근이 많음 / 군대식 문화
4,4,5,4,4,4,생각보다 수평적인 분위기이며 큰 기업이니만큼 잘 갖춰져있음. 복지제도가 잘 갖춰져있음,정말 바쁘고 일이 많음. 모두가 가고싶어하는 기업이니만큼 단점이 그 외에는 딱히 없음
5,5,5,5,5,3,"급여와 워라밸 보장으로 다들 여유있는 분위기
대한민국 최고 전력 공기업","비슷한 업무 패턴, 업무 강도 때문에 지루함을 느낄 수 있음
지사, 부서마다 분위기가 제각각
승진이 더뎌보임
간혹 악성민원에 시달릴 수 있음"
4,3,3,2,1,3,"- 정년 보장
- 승진은 필수가 아닌 선택(본사 나주 이전후, 사무직 승진 경쟁률이 1에 수렴)
- 업계에서 상위 연봉
- 전남/광주 지역 출신이라면 더 좋은 기업(나주에 정착해서 살 수 있다면)","- 오지 근무, 떠돌아 다니는 근무
- 꼰대들이 많다(보고를 위한 보고와 본사의 경우 일 자체가 많다)
- 근데, 젊은 꼰대도 많다(근데, 일도 안하는데 꼰대질만 하는 경우도)
- 거지같은 기업문화(잔돌리기, 야근은 미덕, 충성 충성)"
5,5,5,5,5,5,독점사업으로 한전에서만 배우는 업무가 있음. 특히 송전 배전 변전 신기술을 배움,회식문화. 잔돌리기라는 이상한 문화가있다. 한 자리에만 있으면 안되고 계속 돌아다녀야함
5,4,4,5,4,4,"인턴들에게 굉장히 자유로운 분위기임 / 회식 아예 하지 않고, 2달인턴이라서 그런지 일을 많이 시키지도 않음, /일이 없어서 공부할 수 있는 자유시간이 더 많았음 / 출근도 9시전에만 오면되고, 퇴근도 6시에 바로 할 수 있음","두달인턴으로서 다소 사무행정 업무보다 고객응대가 많았음. 장점이자 단점이기도함, 하지만 행정업무를 기대하고 온 사람이라면 다소 실망할수도 있음. 사무행정 인턴들 대부분은 고객응대기 때문에 실무행정업무?를 못해볼 수도 있음."
4,4,5,4,5,4,다양한 수당이 많다. 대한민국의 방방곡곡에서 일을 할 수 있는 기회가 존재.,"대한민국의 국민의 인간성을 여실히 느낄 수 있다.
특정기간에는 더이상 공기업이 아니다."
4,4,4,5,4,4,"안정된 직장생활, 휴가쓰기 쉬워지게 바뀐 문화, 매년 꾸준한 연봉인상","젋은층이 많아졌지만, 여전히 지사에 따라 꼰대가 있는 경우도 있음"
