star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
2,2,4,3,3,3,공기업이다보니 비용통제가 거의 없음. 순환근무도 괜찮은 편. 해외 나가 일하고 싶은 사람들에게 추천.,순환근무가 단점이 되기도 함. 직무 전문성이 떨어짐. 정치를 잘해야 되는 기업. 윗사람 눈치 봐가면서 할일만 잘하면 좋음.
3,3,3,3,4,3,여러 나라를 살아볼 수 있다. 순환근무가 활발하다. 다양한 업무가 가능하다.,인턴에게 주어진 업무가 무겁다. 순환근무로 전문성을 키울 수 없다.
3,3,3,4,2,2,9-6확실한건 좋다. 부바이부겠지만 업무강도가 비교적 약한편이다,비정규직이 너무 많고 잦은 부서이동으로 전문성이 떨어지는 듯
3,4,5,3,3,1,"공기업, 연봉, 해외지사는 자유로움. 해외지사같은 경우는 사택도 제공해주고 복지가좋음.",중소기업에 도움되는건지 잘모르겟음. 성취감이 없음. 조금더 중소기업을 위한제도가 제대로 구축되엇음 좋겠다
4,4,5,4,5,4,연차를 윗사람 눈치 안보고 쓸 수 잇음. 야근이 자주없음,복지제도 가 다양하다고 하지만 월급이 박봉........
2,2,1,2,3,2,다양한 업무를 배울 수 있으면 진취적 도전정신을 마구 기를 수 있다,인사적체와 보수적인 사내문화 불안정적인 해외 파견으로 인해 퇴사율이 높다
4,4,4,4,4,4,연차를 눈치 안 보고 쓸 수 있음. 복지가 잘 되어있음. 자기계발을 할 수 있는 기회가 많음. 제2외국어를 자연스레 습득할 수 있는 기회가 많이 주어짐.,"해외에서 일 했음에도 불구하고, 굉장히 수직적인 문화. 또한, 공기업 특성 상 공기업만의 단점이 있을 수 있음."
4,2,5,5,5,3,해외에 있는 무역관의 경우 칼퇴가능하고 자유도가 높고 업무스트레스가 낮은편,한국에서 온 직원의 경우 쉬기 위해 오는 경우가 많아서 본사직원의 생각의 변화가 필요해 보임
4,3,4,3,4,3,해외 순환 근무와 해외출장 기회가 많은 것이 최대 장점. 부서도 순환 근무를 함으로 다양한 업무를 경험해 볼 수 있음. (정직원 기준),개인에게 주어지는 업무량이 많음. 본인은 계약직이었기 때문에 해당되지 않았지만 옆에서 일하시는 정직원은 많은 업무로 매일 늦게 퇴근하는 듯 했음. 정직원은 야근수당이 따로 없었음.
3,3,4,4,4,3,"공기업 치고는 개방적인 문화, 해외소식을 빠르게 접하며 글로벌적인 시야를 키울 수 있음","국내-해외 순환근무제, 업무량이 많은 편이며 외국어에 대한 압박이 큼"
4,3,4,4,4,3,"인턴직에 한해서, 휴가 자유롭게 쓸 수있음, 업무 강도는 보통이었음(누구나 할 수 있는 정도), 대부분의 회사가 그렇겠지만 인턴에게 바라는건 딱히 없음, 솔플 경향이 강하여 사무실이 조용함, 현지인들과 같이 일할 수 있어 외국인들과 친해지고 싶은 마음이 간절한 사람들에겐 좋음.",딱히 없음. 윗선을 위한 보여주기식의 절차가 많은 것?
3,3,4,4,3,3,그냥 자기일만 잘하고 기간안에 끝내면 자율성이 보장되고 칼퇴,문서 작업과 공유 방식이 너무나 비효율적. 메일함 저장공간도 부족해서 자주 정리해야함. 무엇보다 지루함.
3,3,3,4,4,3,"해외근무시 넉넉한 보상, 사람들 및 분위기는 좋음, 정년 보장되는 안정적인 직장, 샐러리도 아주 적지는 않다고 들었음","보고를 위한 보고, 서류작업이 많아 비효율적, 생각보다 야근 많이함"
4,3,4,4,4,3,"공기업이다보니, 다른 기업에 비해 업무강도는 높지 않은 편임
출퇴근 시간이 비교적 자유로움
현지직원들이 있다보니 상하수직적 관계가 적은 편","전시회-박람회가 있다면, 담당기업의 의전,스케줄관리업무를 모두 맡기 때문에 야근이나 일찍 출근하는 건 감수해야함"
3,3,2,2,3,2,"일부 임원들 빼고 사원들이 젊어 으쌰 으쌰 하는 분위기, 타 공공기업같은 지방순환근무가 없다는 점",계약직으로 돌아가는 회사. 업무강도는 거의 비슷한 데 월급은 정직원의 70~75%만 주고 2년 이상의 재계약은 기피함.
3,3,3,3,3,3,코트라는 공기업이기 떄문에 아무래도 업무 강도가 낮습니다. 그리고 수직적인 구조가 존재하나 그래도 업무적 스트레스가 덜한편입니다.,본인의 성장을 위해서 일을 배우기에는 적절하지 못하다고 생각합니다. 또한 페이가 적다고 생각합니다.
1,2,2,1,1,2,공기업이라는 것이 유일한 장점. 30자를 채워야 하기에 지금 이런 글을 쓰고 있다는 것이 장점이라면 장점이라면 장점이라면 장점이라면 장점.,공기업이라는 것이 단점. 꼰대 많음. 매일 야근. 성취감 제로. 왜 일 하는지 모르겠음. 해외 순환 근무라도 잘 보내주면 모를까 그것도 아님.
4,4,2,5,4,5,비정규직이 많은 편이라 특별한 차별 같은 것 없었고 오히려 일반 회사 사원급의 일을 해준다고 하며 마음써주었음. 같이 일하는 사람들이 교육 수준이나 능력치가 높아서 옆에서 보면 자극이 많이 되었음. 공기업 특유의 늘어지는 분위기도 없고 큰회사에서 경험을 쌓아보고 싶으면 어떤 고용형태라도 한번쯤 들어와보는게 나쁘지 않을 것 같음.,비정규직이라 역시 급여는 한없이.... 회사 위치가 접근성이 썩 좋진 않아 출퇴근하기 수월하지는 않았음.
3,3,3,4,2,3,개인주의적이라 본인 일만 하면 터치 안 하는 분위기인것 같습니다.,공기업이다보니 보수적인 부분이 있는 것 같습니다. 그리고 부서 이동이 잦은 것은 단점인 것 같습니다.
3,3,3,3,3,3,우리 기업의 해외 진출을 도울 수 있는 곳으로 해외 근무 기회가 많다는 게 장점입니다. 기업 문화는 공기업 답게 보수적입니다,일 안하는 사람이 많고 해외 근무를 지속적으로 해야하는게 단점입니다 원하는 국가를 나가기 위한 사내 정치가 심합니다
4,3,4,3,4,4,"무역관장 성향에 따라 무역관 분위기 천차만별이지만 현지인들과 같이 일하는 만큼 나름 수평적인 분위기, 국내보다 압박이 조금 덜한 편","해외 무역관일지라도 근로시간은 한국 시간 기준 적용(지역에 따른 차이), 본사와의 커뮤니케이션은 시차 상관없이 언제든지 응답해야 함, 명목상의 수출상담회 등 행사 개최에 따른 불필요한 시간,인력 낭비 간혹 있음"
3,3,3,3,3,3,"다양한 업무를 배울 수 있으나, 많은 사람들 기업과 대면할 수 있음.",꽤 단순하고 잡다한 업무. 여성에게는 제한적인 포지션이 많음.
3,3,3,5,1,4,해외순환근무를통해 해외경험을 자주접할수있고 지루한 업무환경에서 벗어날수있을듯..,남녀차별이 심한 기업인듯. 남자가 역차별을 당하는경우도 보았고 직원들의 험담도 자주 도는듯
2,2,3,1,1,3,"해외 수당, 건강검진비, 식비를 지급합니다. 물론 인턴을 제외하고..","많은 업무, 해외근무 필수로 안정적인 생활을 원하는 사람에게는 부담스러울수도"
4,2,4,5,4,4,분위기가 다소 다른 기업에 비해서 부드럽고 편안합니다. 지사마다 다르겠지만 제가 있는 곳은 일과 업무의 밸런스가 좋습니다. 회식이 맛있습니다.,공기업의 특성상 새로운것을 막 도전해보고 싶으신분들에게는 맞지 않을 수도 있습니다. 업체들을 서포트하는 역할이기 때문에 회의감이 들 수도 있습니다.
3,3,2,4,4,4,해당 국가에 대한 전반적인 지식을 배울 수 있었고 해외 주재원 사이에서도 인정해주는 공기업,정해진 문서 틀 안에서 작성해야 하기에 약간 비효율적임.
4,4,4,4,4,4,"공기업이라는 메리트로 퇴사만 하지 않으면 오래 일 할 수 있음.
해외파견근무 하지만 랜덤","부서마다 워라밸이 다름, 인턴이 너무 많아서 빨리 교체가 됨.
하지만 정규직은 적게 뽑는것이 의문......"
4,3,3,3,4,3,중동의 경우 라마단에 한 일주일 풀로 쉴 수 있고 한인 사회내 사회적 지위가 높음.,업무량이 생각보다 매우 빡셈. 직원들 자발적이긴 하지만 10시까지 야근하는 모습 자주 봄. 현지 직원들 말 더럽게 안들음.
4,4,4,4,4,4,"수평적인 문화, 일에 대한 피드백이 빠르며 대화를 통해 일을 충분히 이해하고 수행할 수 있다.",개개인이 느끼는 단점은 있겠지만 크게 느껴지거나 기억나는 단점은 없었다.
4,4,5,4,5,3,"수평적인 사무실분위기, 좋은사람들과 일하며 발전하는 걸 느낄 수 있음","비효율적인 고객관리, 가끔 매너리즘에 빠진 직원들이 보임(공기업특성이니;;)"
