star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
5,4,4,4,5,4,부서바이부서지만 과장님이하 한정 굉장히 수평적이고 오픈마인드입니다.,일부사원분들이 업무과중이 심합니다. 정규직전환으로 서로 앙금이 쌓이는 것 같습니다.
2,2,3,3,4,1,일을 엄청많이해봐서 업무의 적응을 빠르게 할수있음. 욕은 먹어도 6시 정시퇴근은 할수있음. 간식이 많아서 좋음. 스트레스 받아도 먹을거로 풀수가 있음.,"기간제 근로자는 복지가 다르고, 차별이있음, 소규모 사업소는 신입직원보다 일을 더 많이함.. 정말 너무 힘들어서 그만두고 싶을때가 많음. 기간제 근로자는 야근수당 및 휴일수당도 나오지 않음."
3,2,5,2,3,3,안정적이다 정말 안정적이다 더없고 안정적이다 정규직이되면,"꼰대, 의욕없음, 귀찮아함, 이상한사람많음, 안일한사람 많음, 사회인 아니구 고등학교 친구같은 짓 하는 사람 많음...."
5,5,5,5,5,5,"쾌적한 근무환경과 좋은 사람들로 구성되어 있고, 여러 행사들도 재밌습니다. 회사를 다닌다면 lh공사 같은 회사 분위기이면 정말 좋을 것 같습니다.",위치가 선정릉이라 조금 애매합니다. 또한 다른 기업 청년인턴에 비해 급여가 조금 적은 것만 빼면 다른 단점은 없습니다.
5,3,4,5,5,5,회식문화가 너무 엄격하지 않고 부서 분위기가 좋고 자기 의사를 분명하게 표현 할 수 있어 좋았어요 퇴근시간도 여섯시 퇴근 가능해서 좋았어요,복지제도가 다양하지만 실제로 다 쓸 수 없으며 업무의 효율성을 제고해야함
4,4,4,4,4,4,기업의 장점은 공기업이다. 공기업 준비하는 입장으로서 좋은 경험을 쌓을 수 있는 좋은 기회다. 배치받은 여기에는 식당이 있어서 식비가 굳는다. 저녁도 준다. 좋다.,아무래도 3개월짜리 인턴이다 보니 개개인의 전공과 집근처 배치 모두 만족시켜줄수는 없음. 따라서 본인은 기술직이나 행정부서에 배치되어 조금 아쉬움. 하지만 배치된 근무지 거리는 만족함. 지금 이 부서가 한창 바쁠시기라서 일이 바쁘다.
2,3,3,2,2,2,"네임밸류, 정년보장, 사택지원, 휴양소지원 등 아직까지는 크게나쁘지는 않은직원복지",급여대비 업무강도가 매우 강하다. 특정 부서에 인력난이 심각하다
4,4,4,3,2,5,"연차가 지나치게 쌓이지 않게 회사차원에서 관리함. 휴가 사용 그만큼 자유로움.
규모가 규모인만큼 체제비, 동계근무복, 해외연수, 기타 시설이용 등등 복지도 상당함.
국토부산해에 현정부 메인 과제중 하나를 수행해 자긍심도 고취된상황","워라밸이 좋다는 의견이 많은데 업무직,계약직분들은 칼퇴가보장되나 5급이상 공채들은 부서별 업무강도편차가 매우큼. 다시말하지만 무조건 워라밸이 좋다나쁘다가 아니라 편차가 크다는것.

공사중 비교적 적은연봉. 체제비 출장비 시관외수당 등등을 꼬박꼬박 이용해야만 다른 메이저 공사 수준의 임금이 될듯. 상승률은 좋으나 규모에 비해 기본급은 낮은편.

이 또한 사람바이사람, 부서바이부서이지만...지역본부 차장급 이상이 정말 일을안함. 모두가 그런건 아니나 일부 인원들은 시대를 잘타고났다고 느낄정도"
4,4,4,5,4,4,일단 LH특정상 제 전공같은경우 수도권이 좀 많았습니당,수직적 문화가 조금 있는것 같아요 하지만 힘들정도는 아닙니다!
4,4,3,4,4,4,휴가 사용에 큰 제약이 없고 공기업답게 안정성과 복지가 괜찮음. 약간 딱딱한 분위기가 남아있긴 하지만 점점 변화하고 있음.,"신입사원 기본급이 다른 메이져 공기업에 비해 낮은 편이어서 수당을 잘 챙기는 것이 중요하며 문화, 업무강도가 부서마다 극명히 갈리는 모습이 있어 운이 필요해보임."
4,3,2,4,1,3,"1. 현장직은 돈을 많이 받는다.
2. 구내식당이 있다.
3. 휴가 사용이 자유롭다.","현장직 단점
1. 남자가 많아서 그런지 수직적인 분위기가 심하다.
2. 야근이 많다.
3. 잡다한 행사가 많다."
4,4,4,3,2,3,현장 근무시 페이가 높고 감독이라는 입장에서 업체와 갑과 을의 관계라 일에 있어서 편하다,본부나 본사 근무시 페이가 적다. 아직까지도 수직관계가 존재한다(부서부) 군대문화를 선하는 부서도 존재
