star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
4,3,4,2,4,3,한국 1위 IT 기업. 좋은 개발자들과 일할 수 있음. 나름 괜찮은 보상 체계,조직 규모가 커서 의사소통과 의사결정과정이 좀 답답할 수 있음
5,4,4,5,4,4,"자유로운 출퇴근, 나쁘지 않은 복지, 좋은 실비 보험, 괜찮은 연봉","사기업, 언제까지 잘 다닐 수 있을지? 또한 회사에서 하는 서비스들이 얼마나 지속 가능할지? 먹거리를 계속찾아야합니다."
3,3,3,2,4,3,"인적 네트워크, 엄청난 양의 데이터, 쾌적한 카페, 도서관 등 네이버의 자산을 모두 활용해 업무 효율을 높일 수 있음",시간당 부여받는 과제의 양이 많기 때문에 사실상 자발적으로 야근을 하게 되는 구조
3,4,3,1,2,3,기획자가 기획과 디자인 마케팅 PM 역할까지 해야해서 멀티의 달인이 될 수 있음. 기획에 투자를 많이해줘서 돈 걱정 없이 서비스를 기획하면 됨,데이터보단 기획자의 뇌피셜을 얼마나 그럴듯하게 잘 풀어내냐가 중요. 그래서 이해하기 힘든 서비스를 기획하기도 하는데 국내에서 포털을 독점하고 있기때문에 그래도 먹힌다는 게 문제
3,3,3,3,4,3,"연차를 마음대로 쓸 수 있으며, 자유로운 기업분위기가 조성되어 있음","성과급이 생각했던 것 보다 많지 않으며, 잦은 야근으로 피곤함"
4,4,5,4,4,3,일단 복지나 기타 지원이 이 필드에서 가장 좋다고 할 수 있다. 대신 업무를 진행하는데 있어서의 강도는 이전 회사들 대비해서 매우 높았다.,완전 대기업이 되었기 때문에 사실상 IT기업이 가지는 유연성은 찾아보기 어렵게 되었다. 실제로 4년간 근무하면서 4년전과 퇴사하는 시점까지 전반적인 회사문화가 바뀌고 있다는것을 느낄 수 있었다.
4,3,3,4,5,4,자유로운 분위기 자유로운 복장 플렉시블 수면실 자유로운 분위기 자유로운 복장,잘모르겠다 진짜 단점이 생각안날정도로 너무 좋은듯 담당자 매니저분 잘만나면 진짜 마음 편하게 다닐 수 있을듯
4,4,4,4,3,2,"수평적 문화, 책임근무제, 근무환경, 상대적으로 좋은 외부의 평가, 나쁘지 않은 연봉 정도,,,","비교적 수평적 조직이라 새로운 팀이 생기면 연차가 낮아도 리더가 될 수 있는데, 이것의 장점보다는 단점을 더 많이 느껴왔습니다. 체계가 없다고 느껴질 수도 있을듯...?"
4,4,4,3,4,3,팀이 다양하다보니 내부에서 할 수 있는 다양한 업무가 존재한다. 부서간 이동을 통해 자신이 성장할 수 있는 곳이라 생각한다.,다른 아이티기업에 다소 수직적이며 최근의 행보에 대해 의문을 가지는 직원들이 많다. 정치적인 이슈와도 얽혀있기 때문에 말이 많다.
5,4,5,3,5,4,연차 자유. 밥 진짜 싸고 맛있음. 카페도 쌈. 일단 먹고 자는건 다 잘되어있다.,대규모 회사이다 보니 사람이 너무 많아서 생기는 문제들?... 생각보다 사무실이 너무 오픈돼있어서 개인 공간이 없는 느낌.
4,3,4,4,4,2,옷도 자유롭고 자유롭게 자신의 의사를 언제든지 자유롭게 표할 수 있습니다. 인턴이였지만 모든 분들이 대우 잘해주시고. 회사에서 밥도 늘 잘주고 쉬는 곳도 있어서 피곤하면 쉬었다가 다시 일에 집중할 수 있었습니다.,정자역 앞에 없고...버스를 타고 가야 한다는거... 적극적이지 못한 경영진 사원에게 많은 걸 바람
3,1,3,2,2,1,전문성을 갖춘 동료들이 주변에 있다는것. 그리고 네이버란 서비스를 기획운영하면서 느끼는 뿌듯함.,그만큼 전문성을 갖추기 위해선 혼자 스스로 성장해야 한다는 것
5,3,4,4,4,4,"진짜 바쁜 시기가 아니라면 웬만하면 원할 때 휴가를 쓸 수 있음 / 대표님이 아주 상식적인 분. 회사일도 중요하지만 개인의 존엄성이 우선. 먹는 것에 돈을 아끼지 않아서 회식때 한우 먹으러감(회식때 술 강권하지 않음) / 본인에게 주어진 일만 빨리 끝내면 칼퇴 가능, 야근 거의 없고 프로젝트 마무리 시기에 바쁠 때 가끔 야근 하긴 하지만 야근하고 난 다음날은 오후에 출근하는 식으로 편의 봐줌 / 비슷한 업계 중소기업 개발자 대졸 초봉 평균보다 급여가 상당히 높은편 / 대표님이 업계에서 오랜 경험을 쌓고 설립한 회사라 창립한지는 얼마 안됐으나, 직접 개발하고 특허를 낸 솔루션으로 대기업 및 여러 지자체의 사업권을 많이 따내 빠르게 성장중인 회사","설립된지 얼마 안된 회사인만큼 아직 업무체계가 탄탄하지 못해서 개개인이 일의 전문성 + 어느정도의 다재다능한 면모를 가져야함. 현재는 데이터산업을 국가에서 많은 지원을 하는등의 호황이나, 회사 자체는 미래에 어떻게 될지 모르는 과도기"
