star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
5,5,5,4,5,5,모든 근무여건과 환경이 좋다. 복지부터 연봉까지 한국에서는 높은 수준을 유지하고 있고 통근버스등의 직원을 배려한 것과 업무의 지원등은 최상위권을 유지하는 곳,다만 업무강도가 약한편은 아니고 수직적인 문화가 일부부서에는 남아있는 편임
3,3,4,3,4,3,"외국인과 함께 일할 수 있는 기회. (사내 외국인 인력 많음)
그룹 내 여성들의 승진 비율이 높은 편이었음. 강요없는 회식문화도 좋았음.",혁신을 추구한다고 말하지만 의사결정권자인 임원분들은 혁신을 별로 안좋아함.
2,3,4,1,2,1,"인사제도는 선진적이로 글로벌화 되어 있음, (무급이지만) 자기계발 휴직을 1년까지 쓸 수 있고, 여성을 위한 출산, 육아휴직제도 등이 훌륭함. 부서마다 분위기는 다소 다르지만 회식에서 술강요 하지 않음.","보고서를 위한 문서작업이 업무의 대부분이며, 보고서만 작성하다가 업무의 경쟁력이 서서히 떨어짐. 회사가 너무 크고, 각 부서간의 이익을 다투다보니 서비스 경쟁력을 생각하지 않음"
5,5,5,5,5,5,"급여, 업무스타일, 복지, 성평등 등에서 회사가 개선 노력을 하고 있으며 직원들도 그에 따라 적응하고 있음.","대기업이므로 개인적인 불만이나 업무할당, 고과등의 문제는 존재할 수 밖에 없음. 상명하복 문화가 없어질 수는 없다고 판단됨."
3,2,5,4,2,3,연봉이 높다. 네임벨류가 있다. 사내 교육이 활성화 되어있따. 복지가 좋다,수직적 구조이다. 윗사람이 시키면 시키는 대로 해야 한다.
3,4,4,4,4,4,아무래도 자율출퇴근제도가 가장 좋은 것 같습니다. 다른 회사들보다는 좀 더 자유로운 업무분위기가 있어서 확실히 그런 점에서는 장점이 있다고 생각합니다.,위치가... 구미라 좀 별로입니다. 근데 이건 사람마다 다른거니까. 그리고 직장문화가 너무 경쟁위주라서 공기업으로 이직 생각중입니다.
5,3,5,3,3,3,연봉 복지 네임드 그냥 회사 사원증 자체가 네임벨류를 뜻하니 어깨 으쓱할수 있음,기술 개발자쪽에 비해 높지만 연봉차이가 있고 공채와 연봉차이도 꽤나 심한편
5,5,5,3,5,4,"직원 복리 후생이 대체적으로 상위권이며 사내에 병원, 수영장, 카페테리아 등 직원들이 활용 할 수 있는 시설이 많음","업무의 강도 및 야근이 많음. Life and work balance 유지 힘듬, 프로젝트가 많음"
5,5,5,2,4,4,"성과, 역량에 따라 따라오는 보상이 확실함. 회사로서 갖추어야하는 모든 인프라는 다 갖추고 있음.",높은 근무 강도. 직급/직책에 따라 업무 스트레스 심해보임. 너무 큰 회사 규모로 인해 타회사 대비 넓은 시야를 가지기 어렵다는 점.
4,4,5,4,4,4,인센티브가 상당히 많이 받으면 연봉도 타업종에비해 많이 받는 편이다,4조3교대 업무를하며 체력이 약한사람은 적응하지 못할수도있습니다.
