star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
3,4,4,2,3,3,"수평적인 분위기, 전문성에 따른 업무 분장, 젊은 직원들이 많음",마케팅 대행사 특성 상 고객사의 성향과 어떤 이슈가 있을 때 일이 몰리고 오프라인 행사가 있을 땐 업무 강도가 셈
5,5,5,5,5,5,수평적인 문화 추구. 꼰대를 싫어하는 분위기. 리더와 개인의 성과를 객관적으로 측정하기 위해 굉장히 노력하는 곳,모든 구성원의 의견을 들으려하다보니 의사결정이 느린 편임. 팀 별로 독립적인 사업을 추구하는 경우가 많아 협업이 약한 편
4,3,5,4,4,4,"타기업에 비해 자유로운 복지 사용, 눈치주지 않는 문화
비교적 자율적으로 일할 수 있음, 개인의 성장 가능성이 높음","위에서 가르쳐주는걸 좋아하는 타입이면 힘들 수 있음
월급 루팡이 꿈이라면 회사가 그렇게 되도록 가만두지 않음"
3,4,4,3,3,3,젊은 연령대의 사람들과 활발하게 일할 수 있음. 원하면 다양한 업무 경험 가능.,"불규칙한 퇴근 시간. 회사 생활의 평화는 팀원바이
팀원."
4,3,4,3,4,4,적당히 일하며 수습기간만 보내는 여느 인턴과는 다르게 실무경험을 확실하게 할 수 있다. 귀여운 사람들만큼이나 젊고 귀여운 복지들이 참 많다.,실무경험을 확실히 할 수 있다는 건 다른 말로는 업무강도가 높다가 될 수 도 있다.
4,4,5,5,5,4,연차를 눈치 안 보고 쓸 수 있음. 사내 작은 도서관이 있어 책을 마음껏 읽을 수 있고 원하는 책을 신청하면 사주기도 함. 기업 문화가 좋음.,자율성이 높다 보니 팀 by 팀으로 적용되는 복지와 적용되지 않는 것들이 있음. 좋은 팀으로 들어가는 것이 운이 될 수도.
5,5,4,3,5,5,"회사 내부 분위기 좋음, 자기계발에 대한 분위기, 성장에 대한 조직 전체의 파이팅 넘치는 분위기, 수평적인 조직문화","업무 분담 체계가 명확하지 않았음, 사수에 따라 좌우되는 인턴 경험, 워라밸이 워크로 90%쏠려 있음"
4,4,5,3,4,4,수평적인 분위기이기에 각자의 의견을 자유롭게 개진할 수 있다. 임직원 서로서로가 귀를 열어놓는다. 복지 제도도 잘 갖춰져 있어서 만족스럽다.,팀 혹은 팀 내 역할 별로 업무 편중이 심할 수도 있다. 그래도 다른 기업에 비해서는 양호한 편.
4,3,4,3,4,3,회사 조직을 유닛별로 세분화하여 팀단위 조직으로 구성하고 그 안에서의 팀별 문화 및 성과배분이 장점인듯,컨텐츠 중심의 회사라 UI.UX 관점으로 바라보는 시각에 대한 이해도가 낮다
4,4,4,4,5,4,"전체적으로 수평적인 분위기, 직원들을 회사의 자산이라고 생각하는 태도, 일만 바쁘지 않다면 긴 휴가도 가능하다.","들어오기 힘든 것에 비해서 지인 추천, 소개 등으로 쉽게 입사하는 사람들이 많다. 지인내일이라는 별명도 있을 정도. 지인끼리 이루어진 팀에 있으면 지인이 아닌 사람에 대한 이야기가 사석에서 이루어질 것을 생각하니 기분이 나쁘다.
그리고 팀 바이 팀이 너무 심하다, 여기 입사하려면 팀 잘만나야한다."
