star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
3,3,3,3,3,3,업무강도가 강하지 않으며 영업특성상 업무가 자유로움이 있음,비효율적인 시스템이 많으며 체계가 부족하여 업무 효율이 떨어짐
2,1,1,2,4,2,"스타트업중에서도 규모가 있어 활기차게 다닐수있음 월급은 안밀림
호칭은 누구나 ~님 이렇게 불러 인격모독을 받을만한 말은 들을리없음","진짜 사상최고로 체계없이 일함 이사람 저사람 보고할때마다 데이터가 틀림 이렇게 데이터관리가 이상해서 이익이 나는지나 모르겟음.
일을 체계없이 하니 일잘하는 사람 못하는사람 구분이 안됨"
3,3,5,4,4,3,"수평적인 사무 분위기, 각종 직원 복지와 메리트, 여러 혜택과 문화활동 지원이 신나게 업무를 볼 수 있게 해주고 구내식당 밥 맛이 가히 업계 최고임. 20,30대 또래들이 많고 40대 경력자들도 아주 젊었을 때부터 있던 분들이라 말이 바로바로 잘 통함.","소위 창립멤버라는 과장들이 일을 안함... 회사가 단기간에 너무 컸음. 아이디어는 난립하는데 그것을 체계적으로 닦고 설계할 만한 상임고문이나 5,60대 경력자가 없다는 게 단점으로 작용할 줄은 꿈에도 몰랐음... 당연히 이직율도 높고 그 자리를 다른 경력자가 채움. 창립당시 블루오션 '모텔 사업' 으로 기회를 참 잘 잡았을 뿐이지 내실은 없음."
1,1,1,1,1,1,"그다지 없다. 그냥 여기서 일하면 워크홀릭 되겠다 싶은정도. 인지도 있다고 자칭하지만 외부에서 보는 솔직한 시선은 ""급할(?) 때 깔아 쓰고 지우는 모텔예약 앱"" 이상 이하도 아닌 곳.",혁신을 꿈꾸지만 피묻히긴 싫어. 실패는 있어선 안된다. 하지만 도전해라. 실패하면 다 니책임. 윗사람들은 소위 빅픽처 라는 뜬구름만 띄우고 형상화 못하는건 아랫사람 책임. 자기가 회의에 늦게 들어와서 못들어놓곤 보고한적 없다고 적반하장식으로 화내는곳. 대표는 세상의 행복을 만드는 야놀자인들이라지만 정작 조직원들은 세상의 행복을 위해 자신의 행복을 포기해야 하는 곳. 권한은 없지만 책임은 져야 하는 블쌍한 중간관리자들.
2,1,1,3,2,1,"돈 잘버는 회사, 유망한 분야 선두 기업, 마케팅 효과로 인지도 초 상승",엉터리 조직 체계와 맘대로인 인사발령! 특히 리더 자질 부족... 연줄로 채용된 능력없는 리더와 수준 이하 퀄리티의 아웃풋을 강요하는 C레벨
4,4,4,5,5,4,"젊은 임직원, 자유로운 분위기! 회의하는 시간에 점심메뉴를 뭘먹을지 이야기하는데 꽤나 많은 시간을 보냈음. 지금 현직장과 비교하면 상상할 수 없을 정도로 자유로움","팀장이 좀 이상했음 소세지 사오라고 했었는데, 왜 마트에 소세지가 없냐며 내가 매장에 전화해보겠다며 한 직원을 닥달하던 모습을 잊을수가없다. 정말이지 컬쳐쇼크!"
2,2,2,2,1,1,"운전 배우기 좋음
일은 어렵지않음 나 자신이 하기나름인 회사","수직적 군대문화
야근이 많음.
눈치를 볼 수 밖에없음."
1,3,2,1,4,1,"수평적인 사무실 분위기와 다들 서로 친하게 지내는 사내 분위기, 사내 식당이 맛있음.","복지는 다양하지만 혜택을 누리려면 그만큼 눈치를 봐야하는 회사. 윗사람들이 자기 직원을 정말 쉽게 생각하고 쉽게 내치는 회사이다. 또한, 야근을 해야 좋은 인재라고 생각하는 회사 정시 퇴근을 해본 기억이 별로 없음."
3,3,2,3,2,2,"수평조직, 자율 출퇴근제, 열정넘치는 사람이라면 펼칠수있는 환경. 다양한 업무를 경험해볼수있음
전반적으로 젊은 연령층",일당백으로 a부터 z까지 모두 다해야하는 부서가많음. 신입사원이라면 다양한 업무를 해볼수있지만 하나하나 코치하면서 가르치는것이 아니라 스스로 알아서 진행해야함 수동적은 성향이라면 비추
3,2,3,3,4,3,빠른 의사결정 젊은 조직문화 다양한 숙소 볼수 있고 점점 커지고 있는게 보여서 성장하는 느낌을 받음,단순 업무가 많고 아직은 수직 문화에서 버서나지 못함 좀더 클수있는 기업이라고 생각됩니다.
