star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
3,4,5,2,2,2,"대한민국 취준생이 모두 가고 싶어하는 기업으로 연봉, 복지 등 많은 부분엣 장점이 있음.",부서간 순환근무가 어려움. 부서간 업무강도 차이가 심함
3,3,3,2,1,1,대리 이하 직급은 노조원이 아니더라도 노조 대우. 무조건 노조 협의 사항에 따라 복지/성과급이 결정됨. 대리 이하에서는 인사평가에 따른 임금의 차이도 없음 (연차에 따른 차이만 있음.) 노조에서 쉬는 날로 정한 날은 공휴일이 아니더라도 쉼. (과장부터는 쉬는 날이 줄어듦. 성과에 따라 임금이 달라짐.),"급격하게 성장한 이력 (2010년대 초반)이 있어서 그때부터 채용을 많이 했고, 인력풀의 수준이 올라갔으나 과차장급에서는 승진이 조금 적체되어 있고, 인력풀도 그리 좋지 않음. 강성 노조가 있다는 것은 직원에게 강점이기도 하나, 회사 전체적으로는 경쟁력이 떨어지기에 약점임. 보고를 위한 보고가 많고, 경영진 중점 관리 사항 같은 경우에는 잘 안되는 일도 잘 되고 있다고 보고해야해서 가짜 자료를 만든 적도 있음 (팀장/실장급 지시). 획일화된 조직문화를 모든 조직원들이 따르기를 강요함."
3,4,3,3,4,4,"기업문화가 딱딱하지 않고 가족적인 분위기임
52시간 근무로 바뀌고 나서 워라밸이 다소 좋아짐","시스템이 예전에 머물러있음. 국내 최대의 대기업이라고 생각하기에는 다소 뒤떨어짐.
나이가 많은 사람이 많아서 대부분 노력하지않고 추진성이 떨어지는 느낌."
3,2,4,4,2,2,"하는 일의 강도에 비해 많은 돈을 받음
복지혜택도 계약직에게 똑같이 적용해줌","생산직을 1차 하청에서 뽑음
아반떼 이상하게 만들어서 실적 1/4로 줄어들었음"
5,1,4,5,3,3,"파견계약직으로 들어가서 딱 근무수당만큼 일하고 여유롭고 스트레스가 적은편
그에 비해 연차, 여성휴가, 각 종 공휴일 보장 등 근무환경이 좋음","파견계약직 입사시)
승진이나 계약연장 기대하기어려움
남성 중심의 문화

직원 수가 많은 편이라 소문, 사건사고가 많은편"
2,3,3,3,3,2,대한민국의 대기업. 겉보기엔 좋다. 복지좋다. 열심히 하지 않아도 된다.,겉보기에만 대기업. 회사의 미래 방향성이 안보인다. 젊은 사람들의 이직율이 높아지고 있다. 열심히 하지 않아도 된다.
3,3,3,2,3,4,돈을 벌기에는 좋았던 곳입니다. 주변에 놀게 없거든요. 돈 벌고 싶으면 오세요~~~,일의 강도가 생각보다 너무 힘들었습니다. 그렇기 때문에 퇴사하였습니다.
4,4,4,3,4,2,"사원/대리까지 노조소속으로 만족할만한 업무강도, 연월차의 자유로운사용, 초봉이 높은 편","과장이후 부서에따라 잦은 주말출근, 노무관리, 연월차사용에 제한."
3,2,4,4,3,3,"정해진 시간에 출근해서 정해진 시간에 퇴근 할 수 있슴.
식사와 간식이 매우 잘 나옴.
일이 어렵지 않고 어떤 공정이 됐던 10분안에 배울수 있슴.",단점은 없다시피 하지만 장시간의 단순 반복 작업에 시달리다보면 매너리즘에 빠지게 되고 자동차 조립만 하다가 인생을 보내야하는 사색에 잠길수 있슴.
5,3,4,5,5,4,"밖에 알려진 바와 달리 상당히 유연한 근무 문화, 그리고 보통 현대차라하면 쉽게 일한다고 생각하지만 내부에서는 상당히 연구개발에 치열함","입사하기 힘들다는게 가장 큰 단점(대졸사원기준), 약점이라고 할 수 있는게 경직된 노조문화..."
