star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
3,3,4,4,4,2,"연봉 및 워라벨 좋음... 특히 개발자 엄청 우대함... 어느정도 수평문화를 지향하고, 내부 업무공유는 원활한 편임","IT기업치고는 패밀리 회사 같은 느낌... 수평문화를 지향했으나,, 최근 수직적으로 변화하면서 우수인력이 이탈.. 잦은 조직개편 및 무리한 사업확장으로 다소 어수선함. 윗선은 카카오라면 다 될꺼라는 이상한 프라이드가 있음."
4,4,4,5,4,3,"자유로운 출퇴근 제도, 동료와 협업하기에 좋다. 다들 젊어서 좋다,",평가 결과에 따른 보상과 처우에 대한 차등이 약한것이 단점
4,3,3,5,4,2,"완전 자율 출근제, 자유로운 복장과 영어이름을 통한 수평적인 의사소통 가능, 사내 인트라넷 (아지트)를 통해 공개적으로 업무 진행하기 때문에 본인이 속한 팀이 아니더라도 타 팀의 공개된 정보를 마음껏 볼 수 있음, 좋은 어린이집 시설, 안식휴가","인센티브가 몇 년째 매우 적음, 연봉 인상율 낮음, 자율적인 분위기 이지만 그만큼 풀어지기도 쉬운 분위기. 직급이 없고 직책만 존재. 시니어가 이직해서 다니기 좋은 환경"
4,4,4,3,5,3,"신뢰, 충돌, 헌신의 문화. 항상 지켜지지는 않을지라도 이상은 높게 설정하는 회사이다. 가치를 창출하며 떳떳한 방법으로 돈을 벌려고 한다.",수평적인 문화를 강조하다 보니 의사결정이 오히려 잘 되지 않는 경우가 있다. 규모가 커지면서 초기의 스타트업 정신을 잃게 되었다.
4,3,3,5,5,3,"자율 출퇴근이 가능합니다., 수평적인 인간관계를 지향합니다. 뛰어난 개발자들이 주위에 많습니다. 현업에서 실무 위주의 일을 주로 하기 떄문에 실력 키우기 아주 좋은 회사입니다.",직원들 자율에 맞기기 때문에 일 열심히 하는 직원들은 관리가 제대로 안됩니다. 연봉 인상률 및 연봉 자체가 크지 않습니다. 매출액은 늘어나는데 순이익은 얼마 되지 않습니다. 따라서 인센티브도 크게 기대할 수 없습니다.
3,3,3,5,4,2,연차를 눈치 안보고 쓸수 있음. 야근은 팀 따라 천차만별. 한국 기업 치고는 수평적인 분위기이다.,"야근 수당이 없다. 인사 평가가 매년 바뀌고, 실효성에 의문이 든다.
연봉이 낮은편."
3,3,3,5,5,2,"훌륭한 워라벨, 대기업 복지, 대기업 분류로 많은 혜택이 있음.","고인물, 다음인력과 네이버 인력들의 기싸움. 다음의 고인물. 명료하지 않은 정책들..."
5,5,3,5,5,2,일을 시키는 사람이 없다 내가 하고 싶은 일을 디벨롭해서 만드는 재미가 있다,수평문화에서 어떠한 일에 대한 책임이 흐려지는 단점이 보인다.
3,3,4,4,4,3,수평적인 사무실 분위기와 영어 이름을 쓰며 간식등 복지가 좋은 기업입니다.,"경력직만 뽑는게 별로 보기 좋아보이진 않습니다, 신입도많이 뽑아서 인재들을 육성했으면합니다."
5,5,3,5,5,4,"훌륭한 복지제도들
휴가, 육아휴직 등 눈치 보지 않고 사용 가능
음료, 라면, 간식","경쟁사대비 낮은 급여수준과 보상체계
업무 외적인 논란이 많음."
