star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
3,3,1,5,4,3,"연차사용 자유로움, 6시00분00초 칼퇴근가능, 9시 출근, 머리를 안써도됨, 월요병 없음","몸으로 일함, 월급이 작음, 자신의 가치관에 따라 노조가 단점이 됨,"
5,3,2,5,2,1,"국민들이 모두아는 기업 네임밸류 좋음
월급밀리지않꼬 꼬박꼬박나옴
워라벨끝임 일 조금하고 많이 쉼","복지별로없음
월급 짬
첫발령시 현장일 해야함(노가다)
노조비 많이나감"
4,4,3,3,1,4,"올라갈 일만 남음.. 4조2교대 및 임금정상화 가즈아
신입도 해외여행 가능 ㅋㅋ
무난무난함..","기본급이 낮다. 그래서 성과급도 낮고 . 공단이랑 비교당할정도 ㅡㅡ..
악성민원인에 대한 보호같은게 전혀 안됨.. 근데 민원인들도 그걸 알고 수수료나 보상에 대한 무리한 요구 심한 편.
역마다 너무 업무강도가 다름. 같은 연봉 받는데.. 빡센 역은 관리역수당같은 그런 제도를키워야함..
남초직장에다가 철도청시절 무식한 개저씨들 성희롱 및 빻은 말 꼰대 장난아님. 버텨야 하는 분위기 적응 아직도 안됨. 신고하면 또 소문때매 다들 묻어가서 맘아픔 ㅠㅠ
평생 교대는 숙명으로 생각해야함.. 건강 나빠질 수도. 빨ㄹ 4조2교대가 되렀으면
아직 남은 술자리 문화 및 군대문화 좀 존재"
4,4,3,4,4,4,"매월 지급되는 지휴를 업무에 특정인에게 가중되지 않도록 논의하여 잘 사용하고 있습니다. 또한 업무 분위기 역시 유연하며 근무 분위기가 좋습니다.

또한 2017년 상반기부터 입사한 신입사원들은 진급 적체가 없기 때문에
2030년까지는 기존 입사한 선배님들보다는 빠른 진급이 예상됩니다.","근무한지 얼마되지 않아 단점은 모르겠습니다.
제가 속한 역과 동료들에 대한 불만은 없습니다."
5,4,5,5,4,4,"정기적으로 시행하는 안전교육 등을 포함하면 근무 시간도 길지 않고, 대체적으로 여유있는 시간 활용이 가능해 좋았다. 작업복을 입고 일하다보니 옷과 신발에 신경쓸 필요가 없고 샤워시설이나 헬스장 같은 시설도 좋다. 여성의 경우 힘이 드는 정비업무는 시키지않는 편이다.",여성이 일하기에는 남성 비율이 대부분이기때문에 적응할때 어려움이 있을 수 있지만 두드러지게 나쁜 분들은 없다. 다만 밖에서 일하는 시간이 길기때문에 여름엔 덥고 겨울엔 조금 추울 수 있다.
4,5,3,4,4,1,"전국권 회사, '코레일'이라는 정식 명칭이 한국철도공사라는 한글이름보다 더 유명함. 흔히 객실 열차인 KTX나 무궁화 위주의 회사라 생각하지만 서울과 잇는 경기도권 전기전동차도 운영하고 있음. 다양한 직렬과 전국에 회사가 있어 어디든 들어왔다면 자기에 맞는 곳으로 가거나 바꿀 수 있는 기회가 있음.","큰 회사임에도 여러 정치적인 논리로 회사가 잘개 쪼개져 있어(SRT, 철도시설공단, 기타 하부회사 등) 연봉이 비슷한 규모의 발전소 공사에 비해 적음."
4,4,3,3,4,4,상하관계가 딱딲하지 않아 어렵지 않아 보였고 업무강도가 낮아보였다.,"다른 공기업에 비해 약간은 낮다고 알려진 연봉..
그리고 교대근무 현직 분들 보니 마니 피곤해보이셨다"
4,3,2,4,4,2,"자유로운 사내분위기 - 실적압박도 없고 연가 사용시 눈치를 보지않고 자유롭게 사용할 수 있는 분위기, 상하관계도 자유롭고 크게 간섭하지 않음
노조의 존재 - 직원입장에서는 강성노조로 인해 나름 괜찮음, 불편하거나 부당한거는 총대매고 처리해주니 그런대로 만족스러움
워라밸은 최고 - 6시 칼퇴가능하고 교대근무가 많아 회식도 거의 하지 않고 참석강요도 없음","극심한 남초현상 - 직원의 일부인 사무영업을 제외하고는 그냥 재입대수준의 남녀비율
메이저치고는 적은 연봉 - 네임밸류만 메이저, 교대를 뛰지 않는다면 진심으로 텅장만 생성됨
빈약한 복지제도 - 연봉도 작은데 복지제도마저 좋지 않음, 복지포인트말고는 쓸만한 제도가 없음, 회사가 돈이 없어서 큰 지원을 받을 수는 없음
강성노조 - 민노총의 행동대장답게 노조가 활발함. 그리고 노조활동을 많이하는 운전이나 차량직렬에 비해 사무직렬은 불이익을 받는 부분이 존재함"
5,5,3,5,5,5,워라밸 최강에 업무강도 낮고(차량직 기준) 스트레스도 적음. 정년보장은 그 중 최고의 메리트. 2020년 1월 1일부로 4조2교대 시행이므로 여가시간은 더욱더 넘쳐날 것. 인생에 큰 욕심없이 집근처에서 출퇴근하며 가족과 많은 시간을 보내며 살고싶은 분에게 최고! 그리고 남북철도 시대가 기대된다,공기업 중 낮은 급여... 그리고 워낙 일이 편하다보니 대부분 발전을 안하려고 함. 하지만 이건 사람 마음먹기에 달려있으므로 comfort zone을 벗어나고자 마음먹는다면 충분히 발전 할 수 있다고 봅니다
4,4,3,4,3,2,기술직은 정년보장되고 일도 일선현장급은 힘들지 모르지만 차량정비센터급으로 가면 편함. 노조는 강성이어도 정권이 노조역할 강조하는 편이라 앞으로 이득이 있을 것 같음.,"노조가 강성노조여서 노조원이 아니면 차별이 있음. 노사관계도 순탄치는 않음. 비노조원이 팀장, 관리장급이 노조 눈치보는 문화가 만연함
복지가 타공기업에 비해선 약함(단적으로 직원철도할인도 제한적)"
1,3,1,4,2,2,쉬는날이 많다는 점. 짤릴 위험이 없다는 점. 처음에 수도권으로 발령나면 계속 수도권 근무가 가능하다는 점.,단점이 너무 많아 다 적을 수가 없을 정도. 3조2교대 너무 힘듬. 노조 힘이 쎈 기업이라 그런지 노조교육 너무 많음. 물류단 일이 너무 위험함. 동기 사고남..
4,3,2,5,4,3,"자유로운 사내분위기 - 실적압박도 없고 연가 사용시 눈치를 보지않고 자유롭게 사용할 수 있는 분위기, 상하관계도 자유롭고 크게 간섭하지 않음
노조의 존재 - 직원입장에서는 강성노조로 인해 나름 괜찮음, 불편하거나 부당한거는 총대매고 처리해주니 그런대로 만족스러움
워라밸은 최고 - 6시 칼퇴가능하고 교대근무가 많아 회식도 거의 하지 않고 참석강요도 없음","극심한 남초현상 - 직원의 일부인 사무영업을 제외하고는 그냥 재입대수준의 남녀비율
메이저치고는 적은 연봉 - 네임밸류만 메이저, 교대를 뛰지 않는다면 진심으로 텅장만 생성됨
빈약한 복지제도 - 연봉도 작은데 복지제도마저 좋지 않음, 복지포인트말고는 쓸만한 제도가 없음, 회사가 돈이 없어서 큰 지원을 받을 수는 없음
강성노조 - 민노총의 행동대장답게 노조가 활발함. 그리고 노조활동을 많이하는 운전이나 차량직렬에 비해 사무직렬은 불이익을 받는 부분이 존재함"
4,4,2,4,4,3,"공기업의 장점인 워라밸이 보장된다 일이 편안하다
선배들이 친절하다",임금이 높지 않은 편 근무지배정이 원하는대로 이루어지지 않는 편이다.
3,3,3,3,3,2,현장직이라면 정시 퇴근. 상사 잘만나면 세상 편하다. 업무도 한번 익히면 그리 어렵지 않음.,본사 일근이라면 일에 치이고 현장이라면 윗사람들이 회의에서 고성을 지름. 분위기가 썩 좋지는 않다.
3,3,4,4,2,2,"복지가 상단히 좋았음.
남자 1년 여자 3년의 육아휴직은 거의 볼수없는 파격적인 육아 휴직제도인거 같다. 업무도 평이하고 어렵지 않아 수월하게 할수 있었다. 약자배려를 많이 해주는 기업인거 같아서 이부분에서는 호감이 갔다. 주야비휴 근무라서 정시출근 정시퇴근해도 눈치보지 않았던 점이 좋았다.
자격증과 어느정도 연차가 쌓이면 승진하기 수월했던점이 좋았음","업종 특성상 남성중심의 기업문화가 아쉬움
기술지원이 미흡함. 장애가 발생한 기기를 고치는데 한두달이 걸리는 경우도 허다함. 운영시 주요기기는 최대한 빠르게 고치나 부가적인 것을 입고시켜 고치는데 오랜시간이 걸림.
비용상의 구형기기를 사용했으나 자주 고장이 나서 불편하였다."
4,3,3,5,4,3,연차 눈치안보고 쓸수있고. 안정적이며 퇴근시간이 6시로 칼퇴가능합니다. 업무강도도 세지 않으며 워라벨 가능합니다. 추천!,승진 적체 및 연봉이 타기업에 비해 적다. 복지가 늘었으면 좋겠다.
4,3,2,5,3,2,"우리나라의 다양한 기차에 대해 배울수있고 직접 정비해볼수있음, 부서마다 다르지만 개인의 시간을 존중해주며 퇴근후 자기개발시간이 보장됨","비슷한 규모의 타 기업들보다 낮은 임금, 노조의 불합리한 단체행동들"
