star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
3,3,3,3,2,2,망할 가능성이 거의 없음. 버티면 50까지는 다닐 수 있음,낮은 연봉. 유사규모의 대기업보다 2천정도 낮음. 중견기업 수준의 연봉.
4,4,4,4,4,4,연차 복지 등등 대기업답게 눈치안보고 풍부하게 지원되고 성과에따라 인센도 나름 잘 주는편같다고 생각됨,업무량이한쪽으로 쏠리는 경우가 많은거같다는생각이 듬. 물론 개인능력에 따라 잘하면 많이몰릴수밖에 없긴하겟지만..
4,4,4,4,3,3,"주말근무가 없고 짤릴 위험이 없다
팀장이 매년 바뀌고 그에 따라 업무가
1년 단위로 반복된다","1년단위로 반복되는 업무로 실증이난다
하지만 팀장은 업무로태이션을 잘 해주지 않는다"
3,3,3,2,2,2,대기업으로 복지 및 연봉이 중소기업에 비하여 우수하며 인적관리를 통해 애사심을 갖게 한다,보수적인 업무환경이 조성되어있고 과도한 업무로 쉽게 퇴사율이 높은 편이다.
4,4,3,5,5,4,"수평적인 사무실 분위기 및 유연근무제 적극 활용
휴가 5일 무료제공에 그 외 휴일이 많음 (노조창립기념일, 회사창립기념일 등)
그 외 5년마다 안식휴가등이 제공됨","연봉이 약간 미흡함(VC의경우 자동차 부품회사에 비해 약간 연봉이 작음)
가전의 경우 평균이상임"
4,3,2,4,3,3,워라밸을 맞추기 위하여 정시퇴근 권장함. 합리적으로 일을 하려고 노력하는 연구원들이 많음.,합리적으로 일을 하려고 연구원들은 노력하지만 노력이 무산됨. 탑다운방식의 연구진행이 많음. 의사결정권자의 변화에 따라 연구방향이 너무 달라짐.
4,4,4,4,4,3,"대기업, 중간이상의 복리후생, 안정성, 경력에 도움, 크게 사고만 치지 않으면
그래도 40대 중반까지는 다닐 수 있음.","변화와 혁신에 도전하지 않고 무난한 조직문화를 선호함. 위의 그룹장들과
임원들이 수직적인 생각을 가지고 있어서 새로운 아이디어나 변화가 되지 않고 있음"
2,2,2,3,2,1,"중소기업 대비 낮지 않은 연봉/복지, 대기업, 고용 안정성. 적당한 Work&Balance.","회사 수익성이 개선되도 성과는 경영진 몫, 항상 위기상황 강조+직원에게 인색한 금전적 보상, (B2B) 저가 수주에 따른 수익성 악화, 대기업 수준이라기에는 초라한 연봉, 경영 악화된 본부의 사람 떠넘기기 개편으로 인한 직원 아무대나 꽂아넣기+적폐인원 돌리기, 빨대 꽂은 직장인 많음, 미래 먹거리 부재로 인한 회사 비전 불투명."
4,2,5,2,3,3,연봉이 높고 대기업이라는 것. 많은 사람들을 만날 수 있음에 스스로 성장할 수 있는 기회존재!,연봉은 높으나 야근 횟수도 높음... 돈을 많이 주는덴 이유가 있다.
3,3,4,3,4,3,인적 네트워크가 많아서 그나마 업무를 혼자서 애쓰지 않고 협업하면서 진행 할 수 있다.(개인의 인적 역량에 달림),"리스크가 크고 큰 업무를 진행하기가 힘듬. 회사 차원에서 그만큼 감안하고 배려하는 분위기여야 하는 데, 엄청나게 쪼고 부담을 많이 주기 때문에 서로 안하려는 분위기가 있음."
2,3,1,1,4,1,과도한 업무량으로 모두들 지쳐있지만 직원들 사이에 조직 문화가 매우 좋은편.,"잦은 회의. 한번시작하면 긴회의. 본인이 하고싶은 직무로 이동이 매우 힘듬.
퇴근이 힘듬. 잦은 중국 출장."
4,4,5,4,5,4,"자유로운 업무 분위기 및 화기애애한 팀 문화
술자리 회식 강요 없는 점 좋았음
쾌적한 환경으로 더운 여름에도 근무하기 좋았음","회의가 잦은 편이었지만 조금 진행이 더뎌 시간이 아깝다는 생각이 들기도 함
하지만 충분히 의미있는 회의 역시 있었음"
3,3,4,3,2,3,대기업이기에 눈치는 보이더라도 개인적인 행동을 아예 막지는 않음.,안 한다고 했으면서도 눈치를 주는 부분이 존재합니다..
2,2,5,1,1,3,"업무가 많아 당연하게도 급여가 높음
그리고 네임밸류? 그리고 복지","업무가 많아 쉬질 못함
계속 일일일 주말도 없었음
쉬고싶어도 눈치보임"
2,2,2,2,2,2,장점이 없다 1도 없다 딱히 장점이라면 그냥 대기업이라는거?,연봉이 작다 . 쉬는 시간에 조회를 한다 . 월차 없음 .
4,3,4,3,4,4,발전적이며 훌륭한 복지와 개개인의 교육 훈련의 기회 제공함,"부서에 따라 출장 빈도가 많을 수 있으며, 계열사의 업무 지원시 동종 회사라는 분기위를 느끼지 않을 수 있음"
2,2,4,3,2,3,연차를 자유롭게 쓸 수 있음. 구내식당 있음. 셔틀버스 있음.,일하는 사람과 일하는 척 하는 사람이 나뉘어져 있음. 업무 효율성이 떨어짐.
4,4,3,3,4,3,내부 분위기가 너무 가족같지도 않으면서도 너무 딱딱하지도 않은 게 장점. 대기업 디자인경영센터지만 중요한 프로젝트는 내부에서 직접 디자인 작업도 꽤 많이 함,"유관부서와의 회의가 많다. 프로젝트에 많이 조인되어있을 시에는(바쁠 시) 업무시간 내내 회의, 외근 등을 처리하고 야근시간에 디자인 작업을 해야했다."
4,4,3,5,5,2,"가전사업을 통한 안정적 수익창출, 꾸준한 알앤디 투자주","모바일등 아쉬읜 사업이 몇몇 있음
그리고 미래준비를 하나 약함"
3,2,2,2,2,2,야근 식대 제공 셔틀버스 있음 분위기 쾌적함 그리고 업무 분위기 자체가 자유롭기 때문에 좋음,"단순 보고를 위한 문서 작업이 많아 비효율적, 개인주의적인 경향이 많기 때문에 쉽지 않음"
4,4,4,2,3,3,유연한 기업문화 분위기가 형성되어있습니다.(팀장급 이상 제외),다른 부서는 그렇지 않지만 연구개발부서는 야근많고 일이 매우 빡세다.
3,2,1,4,5,2,잘리지 않고 회사 내에서 경쟁심을 부추기지 않기 때문에 가늘고 길게 갈 수 있는 기업. 서울에 있는 것이 최대 장점,고위 임원들의 말도 안되는 정치질로 사내 분위기를 흐리며 기술력이 부족하여 미래가 불투명함. 가장 문제는 연봉
5,4,4,5,4,4,"1. 복지가 좋다.
2. 팀간 사이가 좋다.
3. 연구개발에 전념할 수 있는 환경이 최적으로 구성됨","회의가 매우 많다. 그래서 실질적인 업무 할 시간이 줄어드는 것 같다.
이 이외의 단점은 없다."
3,3,2,4,4,2,"높은 네임벨류와 그에 따르는 많은 이점
주변을 통해서 많은 것을 배울 수 있음","상대적으로 낮은 연봉
경영진의 단기적인 결정
유연하지 못한 노동 체계"
4,4,4,4,4,4,"부서마다 다르지만 대체적으로 분위기가 유함. 군대문화가 잔존해 있는 타 기업과는 차이가 있다. 상대적으로 해외에서 인지도도 있으며, 인지도를 중요시한다면 괜찮은 선택.","해외 법인은 체계가 국내 본사만큼 잘 잡혀있지는 않음. 부서마다 다르지만 야근을 하는 경우, 추후에 처리하는 부분에서 눈치가 보일 수 있음."
4,3,2,5,5,2,서로 싸우지 않는다. 가족과 같다. 비난하지 않는다. 사옥도 이전하여 더 쾌적한 환경에서 일을 할 수 있다. 여성 근로자에게 강추한다.,"나른하고, 느릿하다. 그냥 하루 하루 직장인으로써의 삶을 보내게 된다. 업무 성과 보다는 업무 태도를 더 본다. 그냥 사람들과 즐겁게 하루가 지나기를 바라면 된다"
4,3,4,3,4,3,"과거에는 대기업 특성상 업무량이 많았지만, 최근 기업 문화 개선으로 일할때 하고 퇴근하는 분위기","제조업의 특성상 개발 막바지에 이르면 업무가 바쁜것, 부서마다 다르긴 하지만 예전 회식문화가 아직 존재"
1,1,1,1,1,1,대부분 해외법인들은 현지법에 따라 휴가 일수는 한국보다 많음. 또한 정말 윗 직급 사람들과 대면할 기회도 많음,휴가일수가 많으나 쓸수가없음... 한국에서 발령받아 나온 주재원들은 자기 실적때문에 야근하고 주재원들이 야근하면 그 밑에있는 한국직원들도 같이 야근함...하지만 당연히 야근수당없음. 그리고 현지애들 일못한다고 그러면서 뭐 일만 터지면 무조건 한국직원들에게 일이 다 돌아감...
2,2,2,5,4,2,운좋으면 일이 많이 없으면 부담없이 마음 편하게 다닐수 있음,느슨한 비정규직 관리로 인해 불공평한 업무분배. 정규직 경력인정없어 연봉 동일하나 일 폭탄 자리 있음.
3,3,3,2,3,3,타기업에 비해 나름대로 수평적 분위기가 조성되어 있으며 출퇴근 시간이 플렉서블 하다,부서별로 케바케지만 근무했던 부서는 야근이 많고 개발주기가 매우 짧음.
3,3,2,2,3,2,하드웨어 개발이면 설계부터 양산까지 전과정에 다 참여가능. 한 전자기기가 어떻게 출시되는지 한 눈에 배울 수 있음. 그래도 대기업이라은 네임 밸류. 부서 분위기는 부바부 케바케지만 가족적임. 수직보다는 수평적임.,설계부터 양산까지 전부 팔로업해야함. 품질부터 생산까지 개발부서가 아니면 일이 안돌아감. 그러면서도 개발이 가장 을의 위치. 낮은 연봉 성과급은 기대말고 위로금주면 다행. 상대적 박탈감이 심함
5,4,5,4,5,4,본인이 원하는 부서 배치가 가능하고 능력만 되면 직장 다니기 좋음.,"삼성, 현대에 비해 적은 연봉으로 인한 상대적 박탈감이 생김."
2,2,3,3,1,1,나이든 사람이 와서 그냥 저냥 정년까지 다니기 좋은 기업,나이든 사람이 팀의 대부분을 차지. 직급이 낮다면 온 일을 다 떠맡을 수 있다
4,4,4,4,3,3,"대기업인만큼 복지가 잘돼있고 점심메뉴가 다양하여 선택해서 먹을 수 있다.
아르바이트는 칼퇴가 가능하다.",통근버스가 운영하고 있지만 그 시간이 너무 일러서 일찍와서 아침을 먹어도 시간이 남을만큼 이르다. 아침은 저렴하다.
3,3,3,3,3,3,"대기업이니 복지가 좋고 일하는 분위기 좋음, 연차 편안하게 쓸수 있음. 업무강도가 그렇게 힘들지 않음",연봉이 대기업에 비해 낮음. 퇴사율이 높음. 야근도 많이함. 삼성전자랑 비교가안됨.
2,3,2,3,3,2,"보수적이지만 보수적인 문화가 맞는다면 욕심부리지않고 오래근무할수도 있다.
밖에서 듣는 내용보다 의외로 좋은 분위기일수도 있으며,
좋은게 좋은거다라는 분위기가 지배될땐 모두 함께 분위기에 휩쓸려 잘잘못없이 넘길수 있기도하다.
연월차 대부분 소진하며 눈치없이 사용가능하다.","보수적이어서 아직도 이런걸해야해? 하는것들이 많다.
식스시그마같은..절대 바뀌지 않을듯.
인사결과는 일방적이어서 그냥 결과에 순응해야하며
했던일 또하고 했던일 또하는 비합리적인 상황들 많다.
블라인드 앱보면 회사를 탈출하고싶은 욕구만.
복지 수준 기대안하는게 좋다.
연봉은 매년 제자리.
최저임금의 인상률은 남의 나라 이야기.."
3,2,3,2,3,2,"비교적 자유로운 조직 분위기, 인화적인 기업, 준수한 출퇴근 시간, 워라벨 좋음","업계 낮은 연봉, 비전이 무엇인지 잘 모르겠음, 현실에 만족하는 조직"
3,3,3,3,3,3,"서울 시내에서 근무하며 라이프를 즐길 수 있음. 연봉도 그냥 적당히 주고, 생각보다 꼰대문화는 적어지는 추세입니다.",진짜 역량을 갖고 있는사람이 많이 없음. 퇴사율이 높아 그런 것 같음. 오래 다닐만한 기업은 아닌 것 같아요.
3,3,3,3,3,3,"휴게실 괜찮고, 식당괜찮고 그리 나쁜건 없다.
노조 있고 일하는 사람 대우하는 게 나쁘지 않습니다.",포장/출하 쪽은 그냥 생각없이 할 수 있는 업무라 딱히 자기 발전 이런건 없습니다. 페이가 좀 더 높았으면 좋겠다.
4,4,2,4,4,2,안정적인 대기업이고 회사 분위기가 대체적으로 좋습니다. 시스템은 여타 대기업과 비슷하게 잘 되어 있습니다. 결재는 보통 회사 인터넷을 통해 결재가 이루어지는 점이 장점입니다.,"대기업이라 의사 결정이 느린 편입니다. 그리고 연봉은 같은 직종 내에서 적은 편에 속합니다. 다른 회사들은 모르겠지만, 여기는 부하 직원들을 잘 챙겨주지 않는 팀장도 간혹 있습니다."
4,3,4,5,5,4,회사의 복지화 규모 네임밸류가 높아 만족도가 높음. 회사 내 인원들도 기본적인 매너는 거의 있고 야근이 많이없음.,타 대기업에 비해 성과급이 매우 적으며 연봉도 적은편 직급체계가 간소화되면서 승진의 기회도 적어짐. 많은 분들이 결혼을하고 아이를 가지면 한번씩 이직을 고려함
3,3,2,4,2,2,"다양한 복지와 교육기회제공. IT제조 대기업이다 보니 사내외로 유관 유통 인맥을 쌓을 수 있음(하이마트, 이마트, 통신사, 홈쇼핑, 오픈마켓 등). 신입사원 초봉(기본급)은 높은 편.","비합리적인 조직문화, 남초특유의 군대문화 술문화가 많음. 일단 술을 잘 마셔야 살아남는 분위기. 직급이 올라갈수록 일 안하고 결재만하는 인간들이 많음. 일을 합리적으로 하기보다는 친분을 쌓고 그 관계가지고 하려다 보니 쓸데없는 회의와 술자리가 많음. 보고를 위한 보고가 많음. 보고할때 광팔이용 헛짓거리들을 많이 함. 능력있는 사람들은 이직해서 대리 과장급이 사내에 매우 귀하고 차부장, 신입사원들이 과한 모래시계형 인력구성임. 4대 대기업 대비 인센티브가 적고 연봉상승률이 낮음."
4,2,3,4,4,2,여러분야를 다루는 회사라 회사 내에서 다른 것을 해볼 수 있음. 딱히 장점은 없지만 딱히 단점이 없는 것이 장점. 벤처 수준은 아니더라도 대기업 치고 분위기도 자유로운편. 복지 수준도 괜찮은 편.,대우는 나쁘지 않지만 요새 IT 업계에 대우가 좋은 회사가 많아 괜찮은 인력은 과장급 정도 되면 이직해서 나가버림. 그래서 위로 갈수록 능력이 없어서 못가고 남아 있는 사람과 능력을 인정받고 좋은 대우를 받으며 남은 사람으로 극명하게 갈림.
3,3,3,2,2,2,"백색가전의 사업기반 안정적이고, 프라이드를 가지면서 업무를 수행할 수 있다.",글로벌 기업들의 치열한 경쟁속에서 살아남기 위해 개발주기가 빨라 업무량이 많다.
3,2,5,4,5,4,윗사람 눈치 거의 안보임. 마인드가 참 훌륭한 사람들의 모임. 복지가 대기업 답게 대단함.,"수직상승, 즉 진급이 어려움. 이미 사람들이 너무 많이 포진되어있음. 심사가 까다로움,"
2,2,1,5,1,3,- 주 40시간 적용으로 칼퇴함. 대부분 오후 5시되면 다들 집 가는 분위기. (아닌 곳들도 있긴 하지만 대부분 5시면 집 감),"- 개발자의 권한이 작아 사소한 일도 결재 프로세스가 복잡함
- 시료(세탁기, 에어컨, 냉장고 등)를 연구원들이 직접 다 나름. 시험을 위해 몇 십대 옮기면 하루 끝남. 이걸 사람이 해?하는 것들을 다 함...
- 창원 문화가 매우 보수적이고, 강압적임."
2,3,3,4,2,2,주52시간 근무 제도 시행으로 칼퇴근 가능. 철밥통. 막말로 뭐 하는지 모르겠는 사람도 멀쩡히 오래오래 잘 다님. 매년 복지포인트 받음. 의료비 지원.,부서에 따라 경직된 조직문화가 있음. 모바일 사업부의 경우 계속되는 적자로 인한 것인지 전체적으로 우울함. 뭐 잘못하면 죄인됨. 어떤 경우 사업본부장 앞에 불려가서 해명하는 경우도 봄. 다시 말하면 책임지는 사람이 없고 그렇다고 내 맘대로 할 수도 없어서 답답함. 쓸데없는 보고 라인이 너무 김.
1,1,1,2,1,1,수평적인 분위기 일정 조정하면 자유롭게 휴가를 쓸 수 있음,단순 보고를 위한 문서작업이 많아 비효율적 개발일보다 문서작업량아 많다
4,4,5,4,4,4,기업인지도가 좋나 다른사람들에게 엘지전자 다닌다고 하면 인식이 봏아요,기업인지도에 비해 연봉이 낮아요..초봉은 나쁘지 않은데 인상률이 낮아요
4,4,3,5,3,3,"• 유연근무제
• 서울 근무
• 주40시간
• 높은 업무 자유도","• 비교적 낮은 연봉
• 입으로 일하는 사람들 많음"
2,3,3,2,2,2,"개인주의 분위기 본인이 능력치가 높으면 남 신경안쓰고 일함, 본인이 큰사고만 안친다면 짤리지 않음, 본인이 힘들어서 나가는 경우가 대다수","낮에는 회의 밤에는 일, 대기업치곤 연봉이 낮음 지금은 나아졌으나 2015년 이전에는 야근 특근이 일상적임"
1,2,1,1,3,1,"그럭저럭 먹고 살만한 급여와 다른 대기업에 비했을때 잦지않는 회식, 수평적 조직문화. 타지에서 생활하면 돈 만원도 안드는 사택제공","몇몇 일 안하는 상사덕에 밑에만 죽어나는곳.
괜히 헬지전자가 아님. 그에비해 업무강도에 비해 너무 적은 월급... 성과금은 바라지마세요.
핸드폰 사업은 이미 hell.. 빨리 다른사업을 찾아야 적자를 만회하는데 끝까지 붙들고 있으니...이제 그만 놔줬으면 하는 바램
대기업이라는 타이틀 아래 너무 과대평가 되어있는 기업"
3,3,3,4,4,3,연차 사용에 있어 눈치 보지 않는 분위기. 자율출퇴근제는 모두 적용하는 분위기일테니 논외. 크게 스트레스 받지 않으면서 다닐 수 있어서 여성에게 좋은 직장이라고 생각 됨,퇴근 셔틀버스가 사라졌다. 대기업에서 퇴근 셔틀버스를 원가절감 차원에서 삭제하는 경우가 얼마나 될까? 직원이 그리 중요하지 않다는 것을 말하는 대표적 사례가 아닐까 싶다.
3,4,4,4,3,3,"회사의 네임밸류, 평균 연봉이 다른 소기업에 비해 높음, 업무에 대한 스트레스가 적음.","커리어 발전을 꾀하기가 어려움. 업무를 제대로 배울 사람이 없음, 직원 역량 개발에 대한 실질적인 고민을 안하는 듯함."
5,4,5,5,4,3,복지가 좋고 타 대기업에 비해 분위기 및 조직문화가 뛰어남.,전자 내 사업부별로 차이가 심한 것 같고 불필요한 조직 개편이 잦은 편.
