star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
4,3,4,3,4,3,"정유사 대장으로서 연봉 및 복리후생 등 최소한 타 정유3사 만큼은 줌.
다른 정유사들에 비해 회사의 위치가 가장 좋음.
울산산업단지 내에서도 회사의 위치가 나쁘지 않음.
기업문화 및 분위기 나쁘지 않음.","엄청난 공부량, 연차가 높아져도 꾸준한 공부량이 필요하다고 함.
공부를 하고 나서 그에 따른 발표 및 프레젠테이션을 해야됨."
5,4,5,5,5,4,"워라벨, 높은 연봉, 자유로운 문화. 위에서 부터 변화에 대한 의지가 강하다.",다이나믹하고 시대를 선도하는 업종은 아님. 배터리를 제외하면 몇십년 째 기본 골격은 같은 사업형태. 그만큼 안정적이기도 함.
4,3,5,4,4,3,"안정적인 사업구조. 구성원이 새로운 시도를 함에 있어서 불안하지 않을 수 있다는 큰 장점.
국내 최고 수준의 성과급 및 복지.",큰 조직이다보니 개인의 자율성이나 창의성을 발휘할 부분이 크지 않음.
4,5,4,4,3,4,"완벽히는 아니지만 수평적인 구조로 바뀌어가고있음
최고의 복지를 누릴수 있음",개인의 커리어를 쌓기에는 조금 한계가 있는 느낌. 본인 노력여하에달려있음
4,4,5,4,4,4,"급여, 복리후생 등에 구성원 전반적으로 만족스러움. 구성원들의 회사에 대한 로열티도 우수하며, 회사의 자기개발 기회도 많은 편임","다른 회사 대비해서는 단점이 많지 않으나, 실적 하락 시 성과급 변동폭은 다소 큼. 스탭기능 부서가 많아 중복으로 처리할 업무들이 다수임 (개별회사, 이노베이션, 홀딩스, 협의회 등)"
4,4,5,5,4,4,"자율 출퇴근제.
육아휴직자 승진에 불합리한 점이 없음.","적극적으로 일하는 사람이 적다.
회의가 많다
대충 일해도 장치산업이라 잘굴러감"
4,4,5,3,4,3,"본사특성상 층이 많고 넓음
구내식당이 있어 좋음
직원에 대한 전반적인 복지는 괜찮은편","수직적인 기업문화와 보수적인 특성
계열사가 모여있어서 장점이자 단점으로 작용할수있다"
4,3,4,5,4,3,"연봉 외적으로 나오는 돈도 꽤 있고, 회사에서 직원들의 근무환경을 많이 생각해주려고 하는 편.","모든 회사가 그렇겠지만, 어느 정도 직급 이상으로 올라가면 정치질이 심해보임. SK 특유의 학벌을 많이 봄."
5,4,5,5,5,4,"훌륭한 급여, 좋은 기업문화, 합리적 분위기, 주40시간 근무제 정착 중, 여러 가지로 와보시면 느끼는 장점이 많음",들어오기에 허들이 제법 높음. 신사업에 관심은 많은데 성과가 약함. 인사이더 문화가 일부 있음.
5,5,5,5,5,5,"공부를 많이해서 힘든대신 그만큼의 엄청난 연봉과 복지, 셔틀버스 전 구간 운행, 워라벨 최고, 자신이 다니는 회사의 자부심을 가질수있다.",약5년동안은 공정도면을 외워야하기 때문에정신적으로 많이힘들다. 평생 3교대를 해야함으로써 감수를 해야하고 회사 특성상 타지에 있는것
5,4,4,4,4,4,글로벌일위의자부심을느낄수있는 사람을위한채용시스템임을느낄수,단점은사실잘모르겠지만 근무지가대전지방이라는건큰단점일수도있는듯
3,4,5,4,5,3,"연차사용이 비교적 자유롭고, 여름엔 열흘정도의 장기 휴가도 장려하는 분위기 임",모든 조직의 문제겠지만 위로올라갈수록 책임 지지않으려는 분위기가 있음.
3,2,3,3,3,3,"연차는 눈치안보고 쓴다
어차피 연차비를 돈으로 안주니깐
주5일은 좋다","일하는 사람만 계속일하고
선배들 근무 연속 차이가 많이 나니 10년차도 계속 막내일수 밖에없다
하는사람만 계속일하면된다"
2,2,4,2,2,2,연봉과 성과금이 많이 나옴. 매 년 복지비 지급. 휴대폰 비 지급. T 맴버쉽 포인트 지급 및 VIP 자동 업그레이드 등 여러가지 복지혜택이 좋음.,단순 보고를 위한 문서 작업이 많고 의사결정 과정이 매우 비합리적임. 결론을 위에서 정해놓고 거기에 맞는 답을 찾아서 말을 맞추는 형태의 보고서;; 안습;;;
5,5,5,5,5,5,"칼퇴근이 활발.
대기업이라 복지가 좋음.
인턴으로 잠깐 하기에 큰 도움이 되진 않지만 그래도 대기업의 문화 및 복지를 느끼기엔 충분히 도움이 되엇다고 생각함","오랜 시간이 있어야 배우는 것이 잇을 듯.
짧게 인턴으로 배우기엔 무리가 있음"
5,4,5,3,3,4,연봉이 높고 안정적으로 회사생활 가능. 복지도 좋다고 봄,보수적인 문화가 남아있음. 회식이 많아서 퇴근 이후에도 업무지속.
5,4,4,3,5,4,"상호 존중의 분위기, 세련된 건물, 시내 중심지에 위치해 있어 맛집이 굉장히 많음","딱딱한 분위기(부서 마다 상이함), 프로젝트가 진행되는 경우 야근을 심하게 함(이 역시 부서 마다 상이함)"
