star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
4,4,4,4,4,5,"월급이 좋고! 그렇다고 야근이 많은 것도 아님
자기개발을 위한 시간도 충분","딱히 생각나는 단점은 없지만
나이드신 분들이 많아서.. 조금 낡은 아이디어가 나옴"
4,4,5,5,5,4,"연봉과 복지, 그리고 같이 일하는 사람들이 똑똑하다는 점이 장점으로 느껴집니다.",메인 사업이 성장성이 더디다보니 신사업을 여럿 추진했으나 장기적인 관점에서 기다려주기보다는 빨리 접는 경향이 있습니다.
5,4,5,4,4,4,"무엇보다 높은 수준의 연봉, 복리후생
우리나라 최고의 통신회사에서 근무한다는 자부심.
통신비 공짜!!!!","단순한 보고를 위한 문서 작업이 많은듯,
야근이 많다......"
4,3,4,4,4,4,"안정적인 사업분야.
자유로운 조직문화.
직원복지가 좋음.","넥스트 비지니스 모델을 찾아야 하는 과제.
예전보다 못한 통신업.(각종규제)"
2,1,3,4,3,3,요금할인 되는거 말고는 딱히 없음 연차쓸수잇고 출퇴근시간은 정상적임,부서내 텃세가 너무 심함 계약직이라 어쩔수없는 차별을 겪게됨
3,2,2,2,2,2,"일 하는 시간이 매우 프리하게 돌아감 .
근무 환경은 우수한 편임 .
정시 칼퇴근 할수있음 .","제일 큰 문제는 휴무. 이탈하는 근무자들이 많다보니 내가 땜빵으로 메꿔야하는 날들이 생김 .
새로운 직원들이 매우 많음 ."
4,4,5,5,3,2,"근무유연제 실시하며, 슈퍼프라이데이(3째주 금요일) 3시 퇴근 권장, 연차 및 휴가 사용이 자유롭고, 업무를 충실히 하면 개인 시간 활용해도 눈치 보지 않음. 개인 공간 및 시간 보장. 회식 문화 9시 이전에 마무리하는 분위기. 개인 존중, 복지는 말할 것도 없이 지원이 좋음(정직 기준 휴대폰비 20만원 지원). 직급 없음.",업무량이 많고 대기업 치고 체계가 잡혀있지 않음. 회사 평균 연령이 높음. 신입사원보다 경력사원이 더 많음. 기업 이미지에 비해 직무에 전문성이 떨어짐. 팀에 따라 개인주의가 심함 정도가 있음. 다들 돈을 많이 벌지만 짠돌이 기질이 다분함.
4,4,5,4,4,4,"개인 흥미와 적성에 따라 비교적 자유로운 부서이동 문화
업무강도에 비례하는 금전적보상, 단 최근 W&L Balance 다양한 개선이 시도되고 있음
기술직 재직시 전체 이동통신망을 아우르는 경험을 쌓을 수 있음","엔지니어라기 보다 관리자로 성장하게 되는 업무환경으로 인해 향후 이직 고려시 선택지가 많지 않을듯
역피라미드형 인력구조"
5,5,5,3,5,5,스태프쪽 사람들은 똑똑함. 사업부서에 고연차 인원들은 답답할 수 있음.,너무 똑똑해서 문제가 되는 경우가 많은 것 같음. 정체된 회사.
4,1,4,4,4,3,연차도 편하게 쓸 수 있고 계약직이라면 자기 일 마치면 칼퇴할 수 있어서 좋습니다.,정규직 전환이 안되는 것이 가장 큰 단점인 것 같습니다.
4,4,5,4,4,3,"수평적인 분위기를 추구하려고함, 본사에서 혁신적인 기업문화를 창출하려는 노력이 다분함. 또한 SK그룹사답게 복지가 좋으며 안정적인 회사생활을 할 수 있음","보고를 위한 문서작업이 많으며, 혁신적인 기업문화는 본사에서 부터 내려오기 때문에 전사적으로는 적용이 느린편임. 경영진은 생각보다 보수적임"
4,4,5,3,4,3,사내 분위기가 좋고 회식자리 술 강요 안함 서로를 존중하는 문화를 서로가 만들어감,월급은 많지만 평균 퇴근시간은 늦은 편 군대문화가 조금은 보이긴 함
