star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
4,4,4,4,4,4,"연차와 야근, 수평적인 회사분위기 자유롭고 가족같은 분위기",자유가 보장된 만큼 책임져야하는 것도 당연히 따른다. .
5,4,4,4,4,4,주4.5일 근무와 신입에게도 높은 연봉을 주며 기술력이 좋은 회사!!,재무구조는 탄탄하지만 대기업이나 시장 흐름에 따라 사업구조가 급변할수있기 때문에 뒤쳐지지 않게 흐름을 잘 따라가야 할것같습니다.
4,5,5,5,5,4,직원들의 이야기를 들어주려 노력하고 기업덩치가 커짐에 따라 소홀할 수 있는 부분을 놓치지 않기 위해 신경쓴다,오래되지 않은 기업이다보니 체계화 되어있지 않은 부분이 의외로 많다
5,4,5,5,5,5,알바생으로서 근무했을때 상당히 수평적인 분위기에서 근무할 수 있었으며 상사분들이 업무 지시 할 때 강요가 아닌 부탁 식으로 말씀해주시는 것이 상당히 인상깊었음. 자유로운 분위기가 매력적인 회사,높은 층수 /엘리베이터 타기에 협소. 잠실 바로 옆인 몽촌토성 역에 위치하여 출퇴근 시간에 지하철 번잡한 것이 유일한 스트레스였음. 알바생 기준에서 업무를 통해 받은 스트레스는 딱히 없었음.
4,4,4,3,5,4,"- 도서구입비
- 주35시간 근무
- 성장 가능성
- 좋은 사람들
- 자유로운 연차 사용","- 오래되지 않은 회사라 여러부분에서 정해지지 않은 것들이 있음
- 자주 바뀌는 의사결정"
4,3,3,4,4,3,"모든 업무에 대해 수평적인 구조가 가장 큰 장점
외부에 보여지는 만큼은 아니지만, 굉장히 자유로운 편
사람 스트레스도 상당히 덜한편","급속도로 성장하는데에 비해 개선되지 않는 옛날 프로세스들과 개선되지 않는 점
빠르게 이루어지는 결정들로 결과 등에 대해 보람을 느끼지 못할 때가 많음"
4,4,3,4,5,2,"좋은 문화를 만들어 가는 회사는 분명하다. 사유없는 연차쓰기, 도서구매비는 정말 잘 활용함. 개인에게 업무 기회는 많이 오지만 삽질이 아주 심하다. 작성하다가 느낀 것은.. 팀 하나 하나가 아닌 회사 전체를 봐야 장점이 보여진다.",제대로 이끄는 리더를 몇 명 밖에 못본 것 같다. 그런 것에 갈증을 느끼는 직원들이 내 주변에 많았고 그래서 떠났다. 성장하는 회사 맞고 배울 것도 많은 회사이지만 리더가 누구냐에 따라 만족도가 매우 다르다.
3,2,3,5,4,3,도서 구입비 및 사내 분위기가 장점입니다. 또한 업무 시간에 있어 워라벨이 가능하다고 생각합니다.,먼저 낮은 연봉이 가장 큰 단점이라고 생각합니다. 또한 현재 크고 있는 기업이기 때문에 아직 체계가 약간 부족합니다.
3,3,3,3,1,2,도전적이고 미래지향적이다. 뿌리부터 끝까지 아이티기업임으로 성장가능성은 높다고 생각됩니다. 배달의 민족과 로봇에 사업이 집중 되어 있다,젋은 기업이라서 말이 많고 컨설팅 기업이미지가 강한 기업이다. 조직원들이 어리고 아직은 체계적으로 업무를 진행하지못하는 기업이다.
4,4,3,3,4,4,복지는 직원들에게 맞춰 잘 구성이 되어 있다. 상하 구조가 아닌 수평구조로 의견을 제시하는데 제약이 없는 것 같았다. 근무 환경도 대기업 못지 않게 깨끗한 편이다.,업무 강도가 조금 강하게 느껴질 수 있어 힘들어 하는 사람은 무척 힘들어 하는 모습을 보았다. 급여수준이 높다고 생각이 되지는 않았고 가끔 편가르기를 하는 사람도 보이는것 같았다.(느낌상)
